A,AISC_name,Cw,Dlt,EDI_Std_Nomenclature,H,Ix,Iy,J,PA,PB,PC,PD,Sx,Sy,T_F,Type,W,WGi,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,kdes,kdet,ro,rx,ry,tf,tfdet,tw,twdet,twdet_2,y,yp
2.79,WT6X9.5,0.0934,25.9,WT6X9.5,0.665,10.1,1.88,0.0899,15.8,19.8,16.2,20.2,2.28,0.939,F,WT,9.5,2.25,4.11,1.49,4.01,4,5.72,6.08,6.13,0.65,0.88,2.54,1.9,0.821,0.35,0.38,0.235,0.25,0.13,1.65,0.348
2.36,WT6X8,0.0678,27.3,WT6X8,0.624,8.7,1.41,0.0511,15.6,19.6,16,20,2.04,0.706,F,WT,8,2.25,3.72,1.13,3.99,4,7.53,6,6,0.565,0.81,2.62,1.92,0.773,0.265,0.25,0.22,0.25,0.13,1.74,0.639
2.08,WT6X7,0.0493,29.8,WT6X7,0.611,7.67,1.18,0.035,15.5,19.5,15.9,19.9,1.83,0.593,F,WT,7,2.25,3.32,0.947,3.97,4,8.82,5.96,6,0.525,0.75,2.64,1.92,0.753,0.225,0.25,0.2,0.19,0.13,1.76,0.76
16.5,WT5X56,16.9,7.52,WT5X56,0.963,28.6,118,7.5,21.2,31.6,21.8,32.2,6.4,22.6,F,WT,56,5.5,13.4,34.6,10.4,10.38,4.17,5.68,5.63,1.75,1.94,3.04,1.32,2.67,1.25,1.25,0.755,0.75,0.38,1.21,0.791
14.7,WT5X50,11.9,8.16,WT5X50,0.964,24.5,103,5.41,20.9,31.2,21.4,31.7,5.56,20,F,WT,50,5.5,11.4,30.5,10.3,10.38,4.62,5.55,5.5,1.62,1.81,3,1.29,2.65,1.12,1.13,0.68,0.69,0.38,1.13,0.711
13,WT5X44,8.02,8.96,WT5X44,0.964,20.8,89.3,3.75,20.6,30.9,21.1,31.4,4.77,17.4,F,WT,44,5.5,9.65,26.5,10.3,10.25,5.18,5.42,5.38,1.49,1.69,2.97,1.27,2.63,0.99,1,0.605,0.63,0.31,1.06,0.631
11.3,WT5X38.5,5.31,10,WT5X38.5,0.964,17.4,76.8,2.55,20.3,30.5,20.8,31,4.05,15.1,F,WT,38.5,5.5,8.06,22.9,10.2,10.25,5.86,5.3,5.25,1.37,1.56,2.94,1.24,2.6,0.87,0.88,0.53,0.5,0.25,0.99,0.555
8.84,WT5X30,2.46,12.2,WT5X30,0.964,12.9,58.1,1.23,19.8,29.9,20.3,30.4,3.04,11.5,F,WT,30,5.5,5.87,17.5,10.1,10.13,7.41,5.11,5.13,1.18,1.38,2.89,1.21,2.57,0.68,0.69,0.42,0.44,0.25,0.884,0.438
10,WT5X34,3.62,11.1,WT5X34,0.965,14.9,66.7,1.78,20,30.1,20.5,30.6,3.49,13.2,F,WT,34,5.5,6.85,20,10.1,10.13,6.58,5.2,5.25,1.27,1.44,2.91,1.22,2.58,0.77,0.75,0.47,0.5,0.25,0.932,0.493
7.9,WT5X27,1.78,13.6,WT5X27,0.966,11.1,51.7,0.909,19.6,29.6,20.1,30.1,2.64,10.3,F,WT,27,5.5,5.05,15.6,10,10,8.15,5.05,5,1.12,1.31,2.87,1.19,2.56,0.615,0.63,0.37,0.38,0.19,0.836,0.395
