A,AISC_name,C,D_t,EDI_Std_Nomenclature,Ix,Iy,J,OD,Sx,Sy,T_F,Type,W,Zx,Zy,rx,ry,tdes,tnom
1.59,HSS2.875X0.203,2.01,15.2,HSS2.875X.203,1.45,1.45,2.89,2.88,1.01,1.01,F,HSS,5.8,1.37,1.37,0.952,0.952,0.189,0.203
1.93,HSS2.875X0.250,2.37,12.3,HSS2.875X.250,1.7,1.7,3.4,2.88,1.18,1.18,F,HSS,7.02,1.63,1.63,0.938,0.938,0.233,0.25
1.27,HSS2.500X0.188,1.38,14.4,HSS2.5X.188,0.865,0.865,1.73,2.5,0.692,0.692,F,HSS,4.65,0.943,0.943,0.825,0.825,0.174,0.188
1.48,HSS2.875X0.188,1.88,16.5,HSS2.875X.188,1.35,1.35,2.7,2.88,0.941,0.941,F,HSS,5.4,1.27,1.27,0.957,0.957,0.174,0.188
1.01,HSS2.875X0.125,1.33,24.8,HSS2.875X.125,0.958,0.958,1.92,2.88,0.667,0.667,F,HSS,3.67,0.884,0.884,0.976,0.976,0.116,0.125
1.39,HSS2.375X0.218,1.39,11.7,HSS2.375X.218,0.824,0.824,1.65,2.38,0.694,0.694,F,HSS,5.03,0.96,0.96,0.771,0.771,0.203,0.218
1.66,HSS2.500X0.250,1.72,10.7,HSS2.5X.250,1.08,1.08,2.15,2.5,0.862,0.862,F,HSS,6.01,1.2,1.2,0.806,0.806,0.233,0.25
1.57,HSS2.375X0.250,1.53,10.2,HSS2.375X.250,0.91,0.91,1.82,2.38,0.766,0.766,F,HSS,5.68,1.07,1.07,0.762,0.762,0.233,0.25
0.869,HSS2.500X0.125,0.99,21.6,HSS2.5X.125,0.619,0.619,1.24,2.5,0.495,0.495,F,HSS,3.17,0.66,0.66,0.844,0.844,0.116,0.125
1.2,HSS2.375X0.188,1.23,13.6,HSS2.375X.188,0.733,0.733,1.47,2.38,0.617,0.617,F,HSS,4.4,0.845,0.845,0.781,0.781,0.174,0.188
0.823,HSS2.375X0.125,0.887,20.5,HSS2.375X.125,0.527,0.527,1.05,2.38,0.443,0.443,F,HSS,3.01,0.592,0.592,0.8,0.8,0.116,0.125
1,HSS2.375X0.154,1.06,16.6,HSS2.375X.154,0.627,0.627,1.25,2.38,0.528,0.528,F,HSS,3.66,0.713,0.713,0.791,0.791,0.143,0.154
0.625,HSS1.660X0.140,0.444,12.8,HSS1.66X.140,0.184,0.184,0.368,1.66,0.222,0.222,F,HSS,2.27,0.305,0.305,0.543,0.543,0.13,0.14
0.624,HSS1.900X0.120,0.527,17.1,HSS1.9X.120,0.251,0.251,0.501,1.9,0.264,0.264,F,HSS,2.28,0.356,0.356,0.634,0.634,0.111,0.12
26,Pipe24STD,0,68.8,Pipe24SCH20,1820,1820,3640,24,152,152,F,PIPE,94.7,196,196,8.36,8.36,0.349,0.375
0.943,HSS1.900X0.188,0.747,10.9,HSS1.9X.188,0.355,0.355,0.71,1.9,0.374,0.374,F,HSS,3.44,0.52,0.52,0.613,0.613,0.174,0.188
28.2,Pipe26STD,0,74.5,Pipe26STD,2320,2320,4640,26,178,178,F,PIPE,103,230,230,9.07,9.07,0.349,0.375
19.4,Pipe18STD,0,51.6,Pipe18STD,756,756,1510,18,84,84,F,PIPE,70.7,109,109,6.24,6.24,0.349,0.375
15,Pipe14STD,0,40.1,Pipe14SCH30,350,350,700,14,50,50,F,PIPE,54.6,65.2,65.2,4.83,4.83,0.349,0.375
21.6,Pipe20STD,0,57.3,Pipe20SCH20,1040,1040,2090,20,104,104,F,PIPE,78.7,135,135,6.95,6.95,0.349,0.375
13.7,Pipe12STD,0,36.5,Pipe12STD,262,262,523,12.75,41,41,F,PIPE,49.6,53.7,53.7,4.39,4.39,0.349,0.375
11.5,Pipe10STD,0,31.6,Pipe10SCH40,151,151,302,10.75,28.1,28.1,F,PIPE,40.5,36.9,36.9,3.68,3.68,0.34,0.365
7.85,Pipe8STD,0,28.8,Pipe8SCH40,68.1,68.1,136,8.625,15.8,15.8,F,PIPE,28.6,20.8,20.8,2.95,2.95,0.3,0.322
5.2,Pipe6STD,0,25.4,Pipe6SCH40,26.5,26.5,52.9,6.625,7.99,7.99,F,PIPE,19,10.6,10.6,2.25,2.25,0.261,0.28
2.96,Pipe4STD,0,20.4,Pipe4SCH40,6.82,6.82,13.6,4.5,3.03,3.03,F,PIPE,10.8,4.05,4.05,1.51,1.51,0.221,0.237
2.5,Pipe3-1/2STD,0,19,Pipe3-1/2SCH40,4.52,4.52,9.04,4,2.26,2.26,F,PIPE,9.12,3.03,3.03,1.34,1.34,0.211,0.226
2.07,Pipe3STD,0,17.4,Pipe3SCH40,2.85,2.85,5.69,3.5,1.63,1.63,F,PIPE,7.58,2.19,2.19,1.17,1.17,0.201,0.216
17.2,Pipe16STD,0,45.8,Pipe16SCH30,527,527,1050,16,65.9,65.9,F,PIPE,62.6,85.7,85.7,5.53,5.53,0.349,0.375
4.01,Pipe5STD,0,23.1,Pipe5SCH40,14.3,14.3,28.6,5.563,5.14,5.14,F,PIPE,14.6,6.83,6.83,1.88,1.88,0.241,0.258
0.749,HSS1.900X0.145,0.617,14.1,HSS1.9X.145,0.293,0.293,0.586,1.9,0.309,0.309,F,HSS,2.72,0.421,0.421,0.626,0.626,0.135,0.145
1.61,Pipe2-1/2STD,0,15.2,Pipe2-1/2SCH40,1.45,1.45,2.89,2.875,1.01,1.01,F,PIPE,5.8,1.37,1.37,0.952,0.952,0.189,0.203
1.02,Pipe2STD,0,16.6,Pipe2SCH40,0.627,0.627,1.25,2.375,0.528,0.528,F,PIPE,3.66,0.713,0.713,0.791,0.791,0.143,0.154
36.1,Pipe26XS,0,55.9,Pipe26SCH20,2950,2950,5900,26,227,227,F,PIPE,136,294,294,9.03,9.03,0.465,0.5
15.1,Pipe10XS,0,23.1,Pipe10SCH80,199,199,398,10.75,37,37,F,PIPE,54.8,49.2,49.2,3.64,3.64,0.465,0.5
11.9,Pipe8XS,0,18.5,Pipe8SCH80,100,100,199,8.625,23.1,23.1,F,PIPE,43.4,31,31,2.89,2.89,0.465,0.5
7.83,Pipe6XS,0,16.4,Pipe6SCH80,38.3,38.3,76.6,6.625,11.6,11.6,F,PIPE,28.6,15.6,15.6,2.2,2.2,0.403,0.432
5.73,Pipe5XS,0,15.9,Pipe5SCH80,19.5,19.5,39,5.563,7.02,7.02,F,PIPE,20.8,9.5,9.5,1.85,1.85,0.349,0.375
4.14,Pipe4XS,0,14.3,Pipe4SCH80,9.12,9.12,18.2,4.5,4.05,4.05,F,PIPE,15,5.53,5.53,1.48,1.48,0.315,0.337
3.43,Pipe3-1/2XS,0,13.5,Pipe3-1/2SCH80,5.94,5.94,11.9,4,2.97,2.97,F,PIPE,12.5,4.07,4.07,1.31,1.31,0.296,0.318
2.83,Pipe3XS,0,12.5,Pipe3SCH80,3.7,3.7,7.4,3.5,2.11,2.11,F,PIPE,10.3,2.91,2.91,1.14,1.14,0.28,0.3
2.1,Pipe2-1/2XS,0,11.2,Pipe2-1/2SCH80,1.83,1.83,3.66,2.875,1.27,1.27,F,PIPE,7.67,1.77,1.77,0.93,0.93,0.257,0.276
0.469,Pipe1STD,0,10.6,Pipe1SCH40,0.083,0.083,0.166,1.315,0.126,0.126,F,PIPE,1.68,0.177,0.177,0.423,0.423,0.124,0.133
1.4,Pipe2XS,0,11.7,Pipe2SCH80,0.827,0.827,1.65,2.375,0.696,0.696,F,PIPE,5.03,0.964,0.964,0.771,0.771,0.204,0.218
1,Pipe1-1/2XS,0,10.2,Pipe1-1/2SCH80,0.372,0.372,0.744,1.9,0.392,0.392,F,PIPE,3.63,0.549,0.549,0.61,0.61,0.186,0.2
0.837,Pipe1-1/4XS,0,9.33,Pipe1-1/4SCH80,0.231,0.231,0.462,1.66,0.278,0.278,F,PIPE,3,0.393,0.393,0.528,0.528,0.178,0.191
0.749,Pipe1-1/2STD,0,14.1,Pipe1-1/2SCH40,0.293,0.293,0.586,1.9,0.309,0.309,F,PIPE,2.72,0.421,0.421,0.626,0.626,0.135,0.145
0.407,Pipe3/4XS,0,7.34,Pipe3/4SCH80,0.043,0.043,0.086,1.05,0.0818,0.0818,F,PIPE,1.48,0.119,0.119,0.325,0.325,0.143,0.154
0.602,Pipe1XS,0,7.92,Pipe1SCH80,0.101,0.101,0.202,1.315,0.154,0.154,F,PIPE,2.17,0.221,0.221,0.41,0.41,0.166,0.179
35.4,Pipe12XXS,0,13.8,Pipe12SCH120,625,625,1250,12.75,97.6,97.6,F,PIPE,126,134,134,4.2,4.2,0.93,1
28.8,Pipe10XXS,0,11.6,Pipe10SCH140,354,354,709,10.75,65.6,65.6,F,PIPE,104,90.9,90.9,3.51,3.51,0.93,1
0.303,Pipe1/2XS,0,6.13,Pipe1/2SCH80,0.019,0.019,0.038,0.84,0.0462,0.0462,F,PIPE,1.09,0.0686,0.0686,0.253,0.253,0.137,0.147
20,Pipe8XXS,0,10.6,Pipe8XXS,154,154,308,8.625,35.8,35.8,F,PIPE,72.5,49.9,49.9,2.78,2.78,0.816,0.875
0.625,Pipe1-1/4STD,0,12.8,Pipe1-1/4SCH40,0.184,0.184,0.368,1.66,0.222,0.222,F,PIPE,2.27,0.305,0.305,0.543,0.543,0.13,0.14
24.8,Pipe18XS,0,38.7,Pipe18XS,956,956,1910,18,106,106,F,PIPE,93.5,139,139,6.21,6.21,0.465,0.5
0.312,Pipe3/4STD,0,10,Pipe3/4SCH40,0.035,0.035,0.07,1.05,0.0671,0.0671,F,PIPE,1.13,0.0942,0.0942,0.336,0.336,0.105,0.113
22,Pipe16XS,0,34.4,Pipe16SCH40,665,665,1330,16,83.1,83.1,F,PIPE,82.9,109,109,5.5,5.5,0.465,0.5
27.6,Pipe20XS,0,43,Pipe20SCH30,1320,1320,2640,20,132,132,F,PIPE,104,172,172,6.91,6.91,0.465,0.5
0.234,Pipe1/2STD,0,8.32,Pipe1/2SCH40,0.016,0.016,0.032,0.84,0.0388,0.0388,F,PIPE,0.85,0.0555,0.0555,0.264,0.264,0.101,0.109
19.2,Pipe14XS,0,30.1,Pipe14XS,440,440,880,14,62.9,62.9,F,PIPE,72.2,82.7,82.7,4.79,4.79,0.465,0.5
17.5,Pipe12XS,0,27.4,Pipe12XS,339,339,678,12.75,53.2,53.2,F,PIPE,65.5,70.2,70.2,4.35,4.35,0.465,0.5
14.7,Pipe6XXS,0,8.23,Pipe6XXS,63.5,63.5,127,6.625,19.2,19.2,F,PIPE,53.2,27.4,27.4,2.08,2.08,0.805,0.864
7.66,Pipe4XXS,0,7.17,Pipe4XXS,14.7,14.7,29.4,4.5,6.53,6.53,F,PIPE,27.6,9.5,9.5,1.39,1.39,0.628,0.674
10.7,Pipe5XXS,0,7.96,Pipe5XXS,32.2,32.2,64.4,5.563,11.6,11.6,F,PIPE,38.6,16.7,16.7,1.74,1.74,0.699,0.75
5.17,Pipe3XXS,0,6.26,Pipe3XXS,5.79,5.79,11.6,3.5,3.31,3.31,F,PIPE,18.6,4.89,4.89,1.06,1.06,0.559,0.6
3.83,Pipe2-1/2XXS,0,5.59,Pipe2-1/2XXS,2.78,2.78,5.56,2.875,1.94,1.94,F,PIPE,13.7,2.91,2.91,0.854,0.854,0.514,0.552
2.51,Pipe2XXS,0,5.85,Pipe2XXS,1.27,1.27,2.54,2.375,1.07,1.07,F,PIPE,9.04,1.6,1.6,0.711,0.711,0.406,0.436
33.3,Pipe24XS,0,51.6,Pipe24XS,2310,2310,4620,24,192,192,F,PIPE,126,250,250,8.33,8.33,0.465,0.5
