A,AISC_name,Cw,EDI_Std_Nomenclature,Ix,Iy,J,PA,PB,PC,PD,Qf,Qw,Sw1,Sx,Sy,T,T_F,Type,W,WGi,Wno,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,h_tw,ho,k1,kdes,kdet,rts,rx,ry,tf,tfdet,tw,twdet,twdet_2
95.9,W30X326,287000,W30X326,16800,1240,103,108,123,80.2,95.6,222,593,922,1040,162,25.75,T,W,326,5.5,117,1190,252,15.4,15.375,3.75,32.4,32.375,23.4,30.4,1.75,2.84,3.313,4.26,13.2,3.6,2.05,2.063,1.14,1.125,0.563
86,W30X292,250000,W30X292,14900,1100,75.2,107,122,79.3,94.6,199,529,816,930,144,25.75,F,W,292,5.5,115,1060,223,15.3,15.25,4.12,32,32,26.2,30.2,1.75,2.64,3.125,4.22,13.2,3.58,1.85,1.875,1.02,1,0.5
69.3,W30X235,190000,W30X235,11700,855,40.3,105,120,77.7,92.8,159,421,637,748,114,25.75,F,W,235,5.5,112,847,175,15.1,15,5.02,31.3,31.25,32.2,29.8,1.625,2.29,2.75,4.13,13,3.51,1.5,1.5,0.83,0.813,0.438
77,W30X261,215000,W30X261,13100,959,54.1,106,121,78.4,93.6,176,469,714,829,127,25.75,F,W,261,5.5,114,943,196,15.2,15.125,4.59,31.6,31.625,28.7,30,1.688,2.44,2.938,4.16,13.1,3.53,1.65,1.625,0.93,0.938,0.5
56.1,W30X191,146000,W30X191,9200,673,21,104,119,76.4,91.4,125,335,494,600,89.5,25.75,F,W,191,5.5,111,675,138,15,15,6.35,30.7,30.63,37.7,29.5,1.56,1.97,2.5,4.06,12.8,3.46,1.19,1.19,0.71,0.69,0.38
62.3,W30X211,166000,W30X211,10300,757,28.4,104,119,76.9,92,140,372,556,665,100,25.75,F,W,211,5.5,112,751,155,15.1,15.13,5.74,30.9,31,34.5,29.6,1.63,2.1,2.56,4.11,12.9,3.49,1.32,1.31,0.775,0.75,0.38
50.9,W30X173,129000,W30X173,8230,598,15.6,103,118,75.8,90.8,113,301,441,541,79.8,25.75,F,W,173,5.5,110,607,123,15,15,7.04,30.4,30.5,40.8,29.3,1.56,1.85,2.31,4.03,12.7,3.42,1.07,1.06,0.655,0.63,0.31
43.6,W30X148,49400,W30X148,6680,227,14.5,90.5,101,71.9,82.4,85.8,248,240,436,43.3,25.75,F,W,148,5.5,77.5,500,68,10.5,10.5,4.44,30.7,30.63,41.6,29.5,1.56,1.83,2.5,2.77,12.4,2.28,1.18,1.19,0.65,0.63,0.31
36.5,W30X124,38600,W30X124,5360,181,7.99,89.5,100,70.9,81.4,67.5,202,188,355,34.4,25.75,F,W,124,5.5,76.8,408,54,10.5,10.5,5.65,30.2,30.13,46.2,29.3,1.5,1.58,2.25,2.73,12.1,2.23,0.93,0.94,0.585,0.56,0.31
38.8,W30X132,42100,W30X132,5770,196,9.72,89.5,100,71.1,81.6,72.4,215,202,380,37.2,25.75,F,W,132,5.5,76.9,437,58.4,10.5,10.5,5.27,30.3,30.25,43.9,29.3,1.5,1.65,2.25,2.75,12.2,2.25,1,1,0.615,0.63,0.31
34.2,W30X116,34900,W30X116,4930,164,6.43,89.3,100,70.5,81,61.5,187,171,329,31.3,25.75,F,W,116,5.5,76.5,378,49.2,10.5,10.5,6.17,30,30,47.8,29.2,1.5,1.5,2.13,2.7,12,2.19,0.85,0.88,0.565,0.56,0.31
31.7,W30X108,30900,W30X108,4470,146,4.99,88.9,99.4,70.1,80.6,54.9,170,152,299,27.9,25.75,F,W,108,5.5,76.2,346,43.9,10.5,10.5,6.89,29.8,29.88,49.6,29,1.5,1.41,2,2.67,11.9,2.15,0.76,0.75,0.545,0.56,0.31
29,W30X99,26800,W30X99,3990,128,3.77,88.7,99.2,69.9,80.4,48.5,154,134,269,24.5,25.75,F,W,99,5.5,76.2,312,38.6,10.5,10.5,7.8,29.7,29.63,51.9,29,1.5,1.32,2,2.62,11.7,2.1,0.67,0.69,0.52,0.5,0.25
26.3,W30X90,24000,W30X90,3610,115,2.84,88.1,98.5,69.4,79.8,43.7,139,119,245,22.1,25.75,F,W,90,5.5,75.1,283,34.7,10.4,10.38,8.52,29.5,29.5,57.5,28.9,1.44,1.26,1.88,2.6,11.7,2.09,0.61,0.63,0.47,0.5,0.25
109,W27X368,255000,W27X368,16200,1310,170,100,115,75.5,90.2,231,621,935,1060,179,23,T,W,368,5.5,103,1240,279,14.7,14.63,2.96,30.4,30.38,17.3,27.9,1.88,3.27,3.69,4.15,12.2,3.48,2.48,2.5,1.38,1.38,0.69
159,W27X539,443000,W27X539,25600,2110,496,106,121,80.3,95.6,342,943,1500,1570,277,23,T,W,539,5.5,111,1890,437,15.3,15.25,2.15,32.5,32.5,12.1,29,1.81,4.33,4.44,4.41,12.7,3.65,3.54,3.56,1.97,2,1
