A,AISC_name,Cw,EDI_Std_Nomenclature,Ix,Iy,J,PA,PB,PC,PD,Qf,Qw,Sw1,Sx,Sy,T,T_F,Type,W,WGi,Wno,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,h_tw,ho,k1,kdes,kdet,rts,rx,ry,tf,tfdet,tw,twdet,twdet_2
11.2,W14X38,1230,W14X38,385,26.7,0.798,47.2,54,35,41.7,11.3,30.3,20,54.6,7.88,11.63,F,W,38,3.5,23,61.5,12.1,6.77,6.75,6.57,14.1,14.13,39.6,13.6,0.81,0.915,1.25,1.82,5.87,1.55,0.515,0.5,0.31,0.31,0.19
10,W14X34,1070,W14X34,340,23.3,0.569,47,53.7,34.8,41.5,10,26.9,17.6,48.6,6.91,11.63,F,W,34,3.5,22.9,54.6,10.6,6.75,6.75,7.41,14,14,43.1,13.5,0.75,0.855,1.19,1.8,5.83,1.53,0.455,0.44,0.285,0.31,0.19
8.85,W14X30,887,W14X30,291,19.6,0.38,46.6,53.3,34.3,41.1,8.34,23.1,14.6,42,5.82,11.63,F,W,30,3.5,22.6,47.3,8.99,6.73,6.75,8.74,13.8,13.88,45.4,13.4,0.75,0.785,1.13,1.77,5.73,1.49,0.385,0.38,0.27,0.25,0.13
7.69,W14X26,405,W14X26,245,8.91,0.358,41.7,46.7,32.8,37.9,6.76,19.7,8.95,35.3,3.55,11.63,F,W,26,2.75,17,40.2,5.54,5.03,5,5.98,13.9,13.88,48.1,13.5,0.75,0.82,1.13,1.3,5.65,1.08,0.42,0.44,0.255,0.25,0.13
6.49,W14X22,314,W14X22,199,7,0.208,41.3,46.3,32.4,37.4,5.34,16.1,7,29,2.8,11.63,F,W,22,2.75,16.7,33.2,4.39,5,5,7.46,13.7,13.75,53.3,13.4,0.75,0.735,1.06,1.27,5.54,1.04,0.335,0.31,0.23,0.25,0.13
98.9,W12X336,57000,W12X336,4060,1190,243,69.2,82.6,47,60.4,119,301,460,483,177,9.13,T,W,336,5.5,46.4,603,274,13.4,13.38,2.26,16.8,16.88,5.47,13.8,1.69,3.55,3.88,4.13,6.41,3.47,2.96,2.94,1.78,1.75,0.88
89.5,W12X305,48600,W12X305,3550,1050,185,67.9,81.1,45.8,59,107,267,401,435,159,9.13,T,W,305,5.5,44.8,537,244,13.2,13.25,2.45,16.3,16.38,5.98,13.6,1.63,3.3,3.63,4.05,6.29,3.42,2.71,2.69,1.63,1.63,0.81
81.9,W12X279,42000,W12X279,3110,937,143,67,80.1,44.9,58,96,240,356,393,143,9.13,T,W,279,5.5,44,481,220,13.1,13.13,2.66,15.9,15.88,6.35,13.4,1.63,3.07,3.38,4,6.16,3.38,2.47,2.5,1.53,1.5,0.75
74.1,W12X252,35800,W12X252,2720,828,108,66,79,43.8,56.8,85.8,213,313,353,127,9.13,T,W,252,5.5,42.7,428,196,13,13,2.89,15.4,15.38,6.96,13.2,1.5,2.85,3.13,3.93,6.06,3.34,2.25,2.25,1.4,1.38,0.69
67.7,W12X230,31200,W12X230,2420,742,83.8,65.3,78.2,43.1,56,78.3,193,281,321,115,9.13,T,W,230,5.5,42,386,177,12.9,12.88,3.11,15.1,15,7.56,13,1.5,2.67,2.94,3.87,5.97,3.31,2.07,2.06,1.29,1.31,0.69
61.8,W12X210,27200,W12X210,2140,664,64.7,64.4,77.2,42.2,55,70.6,173,249,292,104,9.13,F,W,210,5.5,41,348,159,12.8,12.75,3.37,14.7,14.75,8.23,12.8,1.44,2.5,2.81,3.81,5.89,3.28,1.9,1.88,1.18,1.19,0.63
56,W12X190,23600,W12X190,1890,589,48.8,63.8,76.5,41.5,54.2,64.1,156,222,263,93,9.13,F,W,190,5.5,40.2,311,143,12.7,12.63,3.65,14.4,14.38,9.16,12.7,1.38,2.33,2.63,3.77,5.82,3.25,1.74,1.75,1.06,1.06,0.56
50,W12X170,20100,W12X170,1650,517,35.6,62.9,75.5,40.6,53.2,56.5,136,193,235,82.3,9.13,F,W,170,5.5,39.2,275,126,12.6,12.63,4.03,14,14,10.1,12.4,1.31,2.16,2.44,3.7,5.74,3.22,1.56,1.56,0.96,0.94,0.5
44.7,W12X152,17200,W12X152,1430,454,25.8,62.1,74.6,39.9,52.4,50.1,121,168,209,72.8,9.13,F,W,152,5.5,38.4,243,111,12.5,12.5,4.46,13.7,13.75,11.2,12.3,1.25,2,2.31,3.66,5.66,3.19,1.4,1.38,0.87,0.88,0.44
39.9,W12X136,14700,W12X136,1240,398,18.5,61.4,73.8,39.2,51.6,44.1,106,146,186,64.2,9.13,F,W,136,5.5,37.7,214,98,12.4,12.38,4.96,13.4,13.38,12.3,12.2,1.25,1.85,2.13,3.61,5.58,3.16,1.25,1.25,0.79,0.81,0.44
35.2,W12X120,12400,W12X120,1070,345,12.9,60.7,73,38.5,50.8,38.6,92.4,126,163,56,9.13,F,W,120,5.5,36.9,186,85.4,12.3,12.38,5.57,13.1,13.13,13.7,12,1.19,1.7,2,3.56,5.51,3.13,1.11,1.13,0.71,0.69,0.38
31.2,W12X106,10700,W12X106,933,301,9.13,60.2,72.4,38,50.2,34.2,81,110,145,49.3,9.13,F,W,106,5.5,36.3,164,75.1,12.2,12.25,6.17,12.9,12.88,15.9,11.9,1.13,1.59,1.88,3.52,5.47,3.11,0.99,1,0.61,0.63,0.31
25.6,W12X87,8270,W12X87,740,241,5.1,59.2,71.3,37.1,49.2,27.4,64.9,86.6,118,39.7,9.13,F,W,87,5.5,35.4,132,60.4,12.1,12.13,7.48,12.5,12.5,18.9,11.7,1.06,1.41,1.69,3.46,5.38,3.07,0.81,0.81,0.515,0.5,0.25
28.2,W12X96,9410,W12X96,833,270,6.85,59.9,72.1,37.6,49.8,30.9,73,98.8,131,44.4,9.13,F,W,96,5.5,36,147,67.5,12.2,12.13,6.76,12.7,12.75,17.7,11.8,1.13,1.5,1.81,3.49,5.44,3.09,0.9,0.88,0.55,0.56,0.31
23.2,W12X79,7330,W12X79,662,216,3.84,59.1,71.2,36.9,49,24.9,58.9,78.5,107,35.8,9.13,F,W,79,5.5,35.3,119,54.3,12.1,12.13,8.22,12.4,12.38,20.7,11.7,1.06,1.33,1.63,3.43,5.34,3.05,0.735,0.75,0.47,0.5,0.25
21.1,W12X72,6540,W12X72,597,195,2.93,58.7,70.7,36.6,48.6,22.5,53.2,70.1,97.4,32.4,9.13,F,W,72,5.5,34.9,108,49.2,12,12,8.99,12.3,12.25,22.6,11.6,1.06,1.27,1.56,3.41,5.31,3.04,0.67,0.69,0.43,0.44,0.25
19.1,W12X65,5780,W12X65,533,174,2.18,58.4,70.4,36.2,48.2,20.2,47.5,62.6,87.9,29.1,9.13,F,W,65,5.5,34.5,96.8,44.1,12,12,9.92,12.1,12.13,24.9,11.5,1,1.2,1.5,3.38,5.28,3.02,0.605,0.63,0.39,0.38,0.19
17,W12X58,3570,W12X58,475,107,2.1,52.6,62.6,34.4,44.4,17.8,42.4,46.2,78,21.4,9.25,F,W,58,5.5,28.9,86.4,32.5,10,10,7.82,12.2,12.25,27,11.6,0.94,1.24,1.5,2.81,5.28,2.51,0.64,0.63,0.36,0.38,0.19
15.6,W12X53,3160,W12X53,425,95.8,1.58,52.5,62.5,34.2,44.2,16,38.3,41.4,70.6,19.2,9.25,F,W,53,5.5,28.8,77.9,29.1,10,10,8.69,12.1,12,28.1,11.5,0.94,1.18,1.38,2.79,5.23,2.48,0.575,0.56,0.345,0.38,0.19
14.6,W12X50,1880,W12X50,391,56.3,1.71,47,55.1,32.5,40.6,14.3,35.4,30.2,64.2,13.9,9.25,F,W,50,5.5,23.4,71.9,21.3,8.08,8.13,6.31,12.2,12.25,26.8,11.6,0.94,1.14,1.5,2.25,5.18,1.96,0.64,0.63,0.37,0.38,0.19
13.1,W12X45,1650,W12X45,348,50,1.26,46.8,54.9,32.3,40.3,12.8,31.7,26.8,57.7,12.4,9.25,F,W,45,5.5,23.2,64.2,19,8.05,8,7,12.1,12,29.6,11.5,0.94,1.08,1.38,2.23,5.15,1.95,0.575,0.56,0.335,0.31,0.19
10.3,W12X35,879,W12X35,285,24.5,0.741,43.5,50.1,31.6,38.1,9.75,25.4,16.8,45.6,7.47,10.13,F,W,35,3.5,19.6,51.2,11.5,6.56,6.5,6.31,12.5,12.5,36.2,12,0.75,0.82,1.19,1.79,5.25,1.54,0.52,0.5,0.3,0.31,0.19
11.7,W12X40,1440,W12X40,307,44.1,0.906,46.4,54.4,31.8,39.8,11.3,27.8,23.5,51.5,11,9.25,F,W,40,5.5,22.8,57,16.8,8.01,8,7.77,11.9,12,33.6,11.4,0.88,1.02,1.38,2.21,5.13,1.94,0.515,0.5,0.295,0.31,0.19
8.79,W12X30,720,W12X30,238,20.3,0.457,43.1,49.6,31.1,37.6,8.17,21.3,13.9,38.6,6.24,10.13,F,W,30,3.5,19.3,43.1,9.56,6.52,6.5,7.41,12.3,12.38,41.8,11.9,0.75,0.74,1.13,1.77,5.21,1.52,0.44,0.44,0.26,0.25,0.13
7.65,W12X26,607,W12X26,204,17.3,0.3,42.9,49.4,30.9,37.4,7.03,18.3,11.8,33.4,5.34,10.13,F,W,26,3.5,19.2,37.2,8.17,6.49,6.5,8.54,12.2,12.25,47.2,11.8,0.75,0.68,1.06,1.75,5.17,1.51,0.38,0.38,0.23,0.25,0.13
6.48,W12X22,164,W12X22,156,4.66,0.293,35.7,39.7,28.6,32.7,4.76,14.4,5.12,25.4,2.31,10.38,F,W,22,2.25,12,29.3,3.66,4.03,4,4.74,12.3,12.25,41.8,11.9,0.63,0.725,0.94,1.04,4.91,0.848,0.425,0.44,0.26,0.25,0.13
5.57,W12X19,131,W12X19,130,3.76,0.18,35.5,39.5,28.4,32.4,3.91,12.2,4.17,21.3,1.88,10.38,F,W,19,2.25,11.9,24.7,2.98,4.01,4,5.72,12.2,12.13,46.2,11.9,0.56,0.65,0.88,1.02,4.82,0.822,0.35,0.38,0.235,0.25,0.13
4.16,W12X14,80.4,W12X14,88.6,2.36,0.0704,34.8,38.8,27.8,31.7,2.48,8.49,2.59,14.9,1.19,10.38,F,W,14,2.25,11.6,17.4,1.9,3.97,4,8.82,11.9,11.88,54.3,11.7,0.56,0.525,0.75,0.961,4.62,0.753,0.225,0.25,0.2,0.19,0.13
4.71,W12X16,96.9,W12X16,103,2.82,0.103,35,39,28,32,2.93,9.82,3.09,17.1,1.41,10.38,F,W,16,2.25,11.7,20.1,2.26,3.99,4,7.53,12,12,49.4,11.7,0.56,0.565,0.81,0.983,4.67,0.773,0.265,0.25,0.22,0.25,0.13
32.9,W10X112,6020,W10X112,716,236,15.1,51.6,62,33.2,43.6,30.6,73.5,85.8,126,45.3,7.5,F,W,112,5.5,26.4,147,69.2,10.4,10.38,4.17,11.4,11.38,10.4,10.2,1,1.75,1.94,3.08,4.66,2.68,1.25,1.25,0.755,0.75,0.38
29.3,W10X100,5150,W10X100,623,207,10.9,50.9,61.2,32.5,42.8,26.9,64.2,74.1,112,40,7.5,F,W,100,5.5,25.7,130,61,10.3,10.38,4.62,11.1,11.13,11.6,10,1,1.62,1.81,3.04,4.6,2.65,1.12,1.13,0.68,0.69,0.38
22.7,W10X77,3630,W10X77,455,154,5.11,49.9,60.1,31.4,41.6,20.5,48.4,55,85.9,30.1,7.5,F,W,77,5.5,24.8,97.6,45.9,10.2,10.25,5.86,10.6,10.63,14.8,9.73,0.88,1.37,1.56,2.95,4.49,2.6,0.87,0.88,0.53,0.5,0.25
26,W10X88,4330,W10X88,534,179,7.53,50.4,60.7,31.9,42.2,23.5,55.9,64.4,98.5,34.8,7.5,F,W,88,5.5,25.3,113,53.1,10.3,10.25,5.18,10.8,10.88,13,9.81,0.94,1.49,1.69,2.99,4.54,2.63,0.99,1,0.605,0.63,0.31
19.9,W10X68,3100,W10X68,394,134,3.56,49.3,59.4,30.9,41,17.9,42.1,47.3,75.7,26.4,7.5,F,W,68,5.5,24.3,85.3,40.1,10.1,10.13,6.58,10.4,10.38,16.7,9.63,0.88,1.27,1.44,2.92,4.44,2.59,0.77,0.75,0.47,0.5,0.25
17.7,W10X60,2640,W10X60,341,116,2.48,49,59.1,30.5,40.6,15.7,36.8,41.3,66.7,23,7.5,F,W,60,5.5,24,74.6,35,10.1,10.13,7.41,10.2,10.25,18.7,9.52,0.81,1.18,1.38,2.88,4.39,2.57,0.68,0.69,0.42,0.44,0.25
15.8,W10X54,2320,W10X54,303,103,1.82,48.6,58.6,30.2,40.2,14,32.8,36.5,60,20.6,7.5,F,W,54,5.5,23.7,66.6,31.3,10,10,8.15,10.1,10.13,21.2,9.49,0.81,1.12,1.31,2.85,4.37,2.56,0.615,0.63,0.37,0.38,0.19
13.3,W10X45,1200,W10X45,248,53.4,1.51,42.7,50.7,28.2,36.2,11.3,27,23.6,49.1,13.3,7.5,F,W,45,5.5,19,54.9,20.3,8.02,8,6.47,10.1,10.13,22.5,9.48,0.81,1.12,1.31,2.27,4.32,2.01,0.62,0.63,0.35,0.38,0.19
14.4,W10X49,2070,W10X49,272,93.4,1.39,48.5,58.5,30,40,12.8,29.8,33,54.6,18.7,7.5,F,W,49,5.5,23.6,60.4,28.3,10,10,8.93,10,10,23.1,9.44,0.81,1.06,1.25,2.84,4.35,2.54,0.56,0.56,0.34,0.31,0.19
11.5,W10X39,992,W10X39,209,45,0.976,42.3,50.3,27.8,35.8,9.55,23,19.9,42.1,11.3,7.5,F,W,39,5.5,18.8,46.8,17.2,7.99,8,7.53,9.92,9.88,25,9.39,0.81,1.03,1.19,2.24,4.27,1.98,0.53,0.5,0.315,0.31,0.19
8.84,W10X30,414,W10X30,170,16.7,0.622,37.3,43.1,26.8,32.6,7.02,18.2,10.7,32.4,5.75,8.25,F,W,30,2.75,14.5,36.6,8.84,5.81,5.75,5.7,10.5,10.5,29.5,9.99,0.69,0.81,1.13,1.6,4.38,1.37,0.51,0.5,0.3,0.31,0.19
9.71,W10X33,791,W10X33,171,36.6,0.583,41.9,49.9,27.4,35.4,7.75,18.9,16,35,9.2,7.5,F,W,33,5.5,18.5,38.8,14,7.96,8,9.15,9.73,9.75,27.1,9.3,0.75,0.935,1.13,2.2,4.19,1.94,0.435,0.44,0.29,0.31,0.19
7.61,W10X26,345,W10X26,144,14.1,0.402,36.8,42.6,26.4,32.1,5.98,15.4,9.03,27.9,4.89,8.25,F,W,26,2.75,14.2,31.3,7.5,5.77,5.75,6.56,10.3,10.38,34,9.86,0.69,0.74,1.06,1.58,4.35,1.36,0.44,0.44,0.26,0.25,0.13
6.49,W10X22,275,W10X22,118,11.4,0.239,36.6,42.4,26.2,31.9,4.88,12.9,7.32,23.2,3.97,8.25,F,W,22,2.75,14.1,26,6.1,5.75,5.75,7.99,10.2,10.13,36.9,9.84,0.63,0.66,0.94,1.55,4.27,1.33,0.36,0.38,0.24,0.25,0.13
5.62,W10X19,104,W10X19,96.3,4.29,0.233,31.5,35.5,24.4,28.4,3.65,10.6,3.91,18.8,2.14,8.38,F,W,19,2.25,9.85,21.6,3.35,4.02,4,5.09,10.2,10.25,35.4,9.81,0.63,0.695,0.94,1.06,4.14,0.874,0.395,0.38,0.25,0.25,0.13
4.99,W10X17,85.1,W10X17,81.9,3.56,0.156,31.2,35.2,24.2,28.2,3.04,9.14,3.24,16.2,1.78,8.38,F,W,17,2.25,9.79,18.7,2.8,4.01,4,6.08,10.1,10.13,36.9,9.77,0.56,0.63,0.88,1.04,4.05,0.845,0.33,0.31,0.24,0.25,0.13
4.41,W10X15,68.3,W10X15,68.9,2.89,0.104,31,35,24,28,2.48,7.83,2.63,13.8,1.45,8.38,F,W,15,2.25,9.73,16,2.3,4,4,7.41,9.99,10,38.5,9.72,0.56,0.57,0.81,1.01,3.95,0.81,0.27,0.25,0.23,0.25,0.13
3.54,W10X12,50.9,W10X12,53.8,2.18,0.0547,30.7,34.7,23.7,27.7,1.91,6.14,1.99,10.9,1.1,8.38,F,W,12,2.25,9.56,12.6,1.74,3.96,4,9.43,9.87,9.88,46.6,9.66,0.56,0.51,0.75,0.983,3.9,0.785,0.21,0.19,0.19,0.19,0.13
19.7,W8X67,1440,W8X67,272,88.6,5.05,41,49.3,26.3,34.6,14.5,34.8,32.3,60.4,21.4,5.75,F,W,67,5.5,16.7,70.1,32.7,8.28,8.25,4.43,9,9,11.1,8.07,0.94,1.33,1.63,2.43,3.72,2.12,0.935,0.94,0.57,0.56,0.31
14.1,W8X48,931,W8X48,184,60.9,1.96,39.9,48,25.1,33.2,10.3,24.2,22,43.2,15,5.75,F,W,48,5.5,15.8,49,22.9,8.11,8.13,5.92,8.5,8.5,15.9,7.82,0.81,1.08,1.38,2.35,3.61,2.08,0.685,0.69,0.4,0.38,0.19
17.1,W8X58,1180,W8X58,228,75.1,3.33,40.5,48.7,25.7,33.9,12.4,29.7,27.2,52,18.3,5.75,F,W,58,5.5,16.3,59.8,27.9,8.22,8.25,5.07,8.75,8.75,12.4,7.94,0.88,1.2,1.5,2.39,3.65,2.1,0.81,0.81,0.51,0.5,0.25
11.7,W8X40,726,W8X40,146,49.1,1.12,39.3,47.4,24.6,32.6,8.3,19.7,17.5,35.5,12.2,5.75,F,W,40,5.5,15.5,39.8,18.5,8.07,8.13,7.21,8.25,8.25,17.6,7.69,0.81,0.954,1.25,2.31,3.53,2.04,0.56,0.56,0.36,0.38,0.19
10.3,W8X35,619,W8X35,127,42.6,0.769,39,47,24.3,32.3,7.28,17.1,15.2,31.2,10.6,5.75,F,W,35,5.5,15.3,34.7,16.1,8.02,8,8.1,8.12,8.13,20.5,7.63,0.81,0.889,1.19,2.28,3.51,2.03,0.495,0.5,0.31,0.31,0.19
9.13,W8X31,530,W8X31,110,37.1,0.536,38.8,46.8,24,32,6.35,15,13.2,27.5,9.27,5.75,F,W,31,5.5,15.1,30.4,14.1,8,8,9.19,8,8,22.3,7.57,0.75,0.829,1.13,2.26,3.47,2.02,0.435,0.44,0.285,0.31,0.19
8.25,W8X28,312,W8X28,98,21.7,0.537,34.5,41,22.7,29.2,5.52,13.4,9.44,24.3,6.63,6.13,F,W,28,4,12.4,27.2,10.1,6.54,6.5,7.03,8.06,8,22.3,7.6,0.63,0.859,0.94,1.84,3.45,1.62,0.465,0.44,0.285,0.31,0.19
7.08,W8X24,259,W8X24,82.7,18.3,0.346,34.2,40.7,22.4,28.9,4.71,11.3,7.95,20.9,5.63,6.13,F,W,24,4,12.2,23.1,8.57,6.5,6.5,8.12,7.93,7.88,25.9,7.53,0.56,0.794,0.88,1.81,3.42,1.61,0.4,0.38,0.245,0.25,0.13
6.16,W8X21,152,W8X21,75.3,9.77,0.282,31.3,36.6,21.8,27.1,3.96,10.1,5.47,18.2,3.71,6.5,F,W,21,2.75,10.4,20.4,5.69,5.27,5.25,6.59,8.28,8.25,27.5,7.88,0.56,0.7,0.88,1.46,3.49,1.26,0.4,0.38,0.25,0.25,0.13
5.26,W8X18,122,W8X18,61.9,7.97,0.172,31,36.3,21.5,26.8,3.23,8.37,4.44,15.2,3.04,6.5,F,W,18,2.75,10.3,17,4.66,5.25,5.25,7.95,8.14,8.13,29.9,7.81,0.56,0.63,0.81,1.43,3.43,1.23,0.33,0.31,0.23,0.25,0.13
4.44,W8X15,51.8,W8X15,48,3.41,0.137,27.3,31.3,20.2,24.2,2.31,6.64,2.47,11.8,1.7,6.5,F,W,15,2.25,7.81,13.6,2.67,4.02,4,6.37,8.11,8.13,28.1,7.8,0.56,0.615,0.81,1.06,3.29,0.876,0.315,0.31,0.245,0.25,0.13
3.84,W8X13,40.8,W8X13,39.6,2.73,0.0871,27,31,20,24,1.86,5.55,1.97,9.91,1.37,6.5,F,W,13,2.25,7.74,11.4,2.15,4,4,7.84,7.99,8,29.9,7.74,0.56,0.555,0.75,1.03,3.21,0.843,0.255,0.25,0.23,0.25,0.13
2.96,W8X10,30.9,W8X10,30.8,2.09,0.0426,26.8,30.7,19.7,23.7,1.48,4.29,1.53,7.81,1.06,6.5,F,W,10,2.25,7.57,8.87,1.66,3.94,4,9.61,7.89,7.88,40.5,7.69,0.5,0.505,0.69,1.01,3.22,0.841,0.205,0.19,0.17,0.19,0.13
7.34,W6X25,150,W6X25,53.4,17.1,0.461,29.9,36,18.8,24.9,3.88,9.39,6.23,16.7,5.61,4.5,F,W,25,3.5,9.01,18.9,8.56,6.08,6.13,6.68,6.38,6.38,15.5,5.93,0.56,0.705,0.94,1.74,2.7,1.52,0.455,0.44,0.32,0.31,0.19
5.87,W6X20,113,W6X20,41.4,13.3,0.24,29.5,35.5,18.4,24.4,3.07,7.38,4.82,13.4,4.41,4.5,F,W,20,3.5,8.78,14.9,6.72,6.02,6,8.25,6.2,6.25,19.1,5.84,0.56,0.615,0.88,1.7,2.66,1.5,0.365,0.38,0.26,0.25,0.13
4.43,W6X15,76.5,W6X15,29.1,9.32,0.101,29.1,35.1,18,24,2.15,5.32,3.34,9.72,3.11,4.5,F,W,15,3.5,8.58,10.8,4.75,5.99,6,11.5,5.99,6,21.6,5.73,0.56,0.51,0.75,1.66,2.56,1.45,0.26,0.25,0.23,0.25,0.13
3.55,W6X12,24.7,W6X12,22.1,2.99,0.0903,23.2,27.2,16.1,20.1,1.52,4.08,1.61,7.31,1.5,4.5,F,W,12,2.25,5.75,8.3,2.32,4,4,7.14,6.03,6,21.6,5.75,0.56,0.53,0.75,1.08,2.49,0.918,0.28,0.25,0.23,0.25,0.13
4.74,W6X16,38.2,W6X16,32.1,4.43,0.223,23.7,27.7,16.6,20.6,2.24,5.77,2.42,10.2,2.2,4.5,F,W,16,2.25,5.92,11.7,3.39,4.03,4,4.98,6.28,6.25,19.1,5.88,0.56,0.655,0.88,1.13,2.6,0.967,0.405,0.38,0.26,0.25,0.13
2.68,W6X9,17.7,W6X9,16.4,2.2,0.0405,22.9,26.8,15.7,19.7,1.15,3.04,1.19,5.56,1.11,4.5,F,W,9,2.25,5.6,6.23,1.72,3.94,4,9.16,5.9,5.88,29.2,5.69,0.5,0.465,0.69,1.06,2.47,0.905,0.215,0.19,0.17,0.19,0.13
2.52,W6X8.5,15.8,W6X8.5,14.9,1.99,0.0333,22.8,26.7,15.6,19.5,1.03,2.78,1.06,5.1,1.01,4.5,F,W,8.5,2.25,5.55,5.73,1.56,3.94,4,10.1,5.83,5.88,29.1,5.64,0.5,0.445,0.69,1.05,2.43,0.89,0.195,0.19,0.17,0.19,0.13
5.56,W5X19,50.9,W5X19,26.3,9.13,0.316,24.4,29.4,15.3,20.4,2.42,5.73,3.21,10.2,3.63,3.5,F,W,19,2.75,5.94,11.6,5.53,5.03,5,5.85,5.15,5.13,13.7,4.72,0.44,0.73,0.81,1.45,2.17,1.28,0.43,0.44,0.27,0.25,0.13
4.71,W5X16,40.6,W5X16,21.4,7.51,0.192,24,29,15,20,1.99,4.74,2.62,8.55,3,3.5,F,W,16,2.75,5.81,9.63,4.58,5,5,6.94,5.01,5,15.4,4.65,0.44,0.66,0.75,1.43,2.13,1.26,0.36,0.38,0.24,0.25,0.13
3.83,W4X13,14,W4X13,11.3,3.86,0.151,19.5,23.6,12.4,16.4,1.24,3.09,1.36,5.46,1.9,2.63,F,W,13,2.25,3.87,6.28,2.92,4.06,4,5.88,4.16,4.13,10.6,3.82,0.5,0.595,0.75,1.16,1.72,1,0.345,0.38,0.28,0.25,0.13
3.63,M12.5X12.4,76,M12.5X12.4,89.3,2.01,0.0493,35.5,39.3,28.8,32.5,2.51,8.06,2.46,14.2,1.07,11.38,F,M,12.4,0,11.5,16.5,1.68,3.75,3.75,8.22,12.5,12.5,74.8,12.3,0.38,0.563,0.56,0.933,4.96,0.744,0.228,0.25,0.155,0.13,0.06
3.47,M12X11.8,37.7,M12X11.8,72.2,1.09,0.05,32.4,35.5,27.1,30.1,1.92,7.02,1.56,12,0.709,10.88,F,M,11.8,0,9.04,14.3,1.15,3.07,3.13,6.81,12,12,62.5,11.8,0.38,0.563,0.56,0.731,4.56,0.559,0.225,0.25,0.177,0.19,0.13
3.4,M12.5X11.6,57.1,M12.5X11.6,80.3,1.51,0.0414,34.8,38.3,28.5,32,2.17,7.36,1.99,12.8,0.864,11.38,F,M,11.6,0,10.8,15,1.37,3.5,3.5,8.29,12.5,12.5,74.8,12.3,0.38,0.563,0.56,0.852,4.86,0.667,0.211,0.19,0.155,0.13,0.06
3.18,M12X10.8,35,M12X10.8,66.7,1.01,0.0393,32.4,35.5,27,30.1,1.8,6.48,1.46,11.1,0.661,10.88,F,M,10.8,0,9.05,13.2,1.07,3.07,3.13,7.3,12,12,69.2,11.8,0.38,0.563,0.56,0.732,4.58,0.564,0.21,0.19,0.16,0.19,0.13
2.65,M10X9,16.1,M10X9,39,0.672,0.0314,27.4,30.1,22.7,25.4,1.28,4.52,0.91,7.79,0.5,8.88,F,M,9,0,6.59,9.22,0.809,2.69,2.75,6.53,10,10,58.4,9.79,0.38,0.563,0.56,0.65,3.83,0.503,0.206,0.19,0.157,0.19,0.13
2.95,M12X10,35.9,M12X10,61.7,1.03,0.0292,33,36.2,27.2,30.4,1.65,5.98,1.4,10.3,0.636,11,F,M,10,0,9.6,12.2,1.02,3.25,3.25,9.03,12,12,74.7,11.8,0.38,0.5,0.5,0.768,4.57,0.592,0.18,0.19,0.149,0.13,0.06
2.37,M10X8,14.2,M10X8,34.6,0.593,0.0224,27.3,30,22.6,25.3,1.13,4.01,0.8,6.95,0.441,8.88,F,M,8,0,6.57,8.2,0.711,2.69,2.75,7.39,9.95,10,65,9.77,0.38,0.563,0.56,0.646,3.82,0.5,0.182,0.19,0.141,0.13,0.06
2.22,M10X7.5,13.5,M10X7.5,33,0.562,0.0187,27.4,30.1,22.7,25.4,1.09,3.8,0.77,6.6,0.418,9.13,F,M,7.5,0,6.6,7.77,0.67,2.69,2.75,7.77,9.99,10,71,9.82,0.31,0.438,0.44,0.646,3.85,0.503,0.173,0.19,0.13,0.13,0.06
1.92,M8X6.5,5.73,M8X6.5,18.5,0.376,0.0184,22.3,24.5,18.3,20.6,0.79,2.66,0.48,4.63,0.329,6.88,F,M,6.5,0,4.45,5.43,0.529,2.28,2.25,6.03,8,8,53.8,7.81,0.38,0.563,0.56,0.563,3.11,0.443,0.189,0.19,0.135,0.13,0.06
1.82,M8X6.2,5.38,M8X6.2,17.6,0.352,0.0156,22.3,24.6,18.3,20.6,0.74,2.52,0.45,4.39,0.308,7.13,F,M,6.2,0,4.46,5.15,0.495,2.28,2.25,6.44,8,8,56.5,7.82,0.25,0.438,0.44,0.56,3.1,0.439,0.177,0.19,0.129,0.13,0.06
1.29,M6X4.4,1.53,M6X4.4,7.23,0.18,0.0099,17,18.9,13.8,15.7,0.43,1.37,0.21,2.41,0.195,5.25,F,M,4.4,0,2.68,2.8,0.311,1.84,1.88,5.39,6,6,47,5.83,0.25,0.375,0.38,0.467,2.36,0.372,0.171,0.19,0.114,0.13,0.06
1.09,M6X3.7,1.45,M6X3.7,5.96,0.173,0.0053,17.4,19.4,13.8,15.8,0.36,1.14,0.19,2.01,0.173,5.25,F,M,3.7,0,2.9,2.33,0.273,2,2,7.75,5.92,5.88,54.7,5.79,0.25,0.313,0.31,0.499,2.34,0.398,0.129,0.13,0.098,0.13,0.06
5.56,M5X18.9,45.7,M5X18.9,24.2,8.7,0.313,23.8,28.8,15,20,2.23,5.45,2.98,9.67,3.48,3.38,T,M,18.9,2.75,5.73,11.1,5.33,5,5,6.01,5,5,11.2,4.58,0.5,0.813,0.81,1.44,2.08,1.25,0.416,0.44,0.316,0.31,0.19
1.27,M4X4.08,1.19,M4X4.08,3.53,0.325,0.0147,14,16.2,10.3,12.5,0.35,0.93,0.21,1.77,0.289,2.88,F,M,4.08,0,2.15,2,0.453,2.25,2.25,6.62,4,4,26.4,3.83,0.38,0.563,0.56,0.593,1.67,0.506,0.17,0.19,0.115,0.13,0.06
