A,AISC_name,EDI_Std_Nomenclature,H,Ix,Iy,Sx,Sy,T_F,Type,W,Zx,Zy,b,b_t,d,ro,rx,ry,t,y,yp
6.04,2L3-1/2X3X1/2X3/4SLBB,2L3-1/2X3X1/2X3/4SLBB,0.915,4.65,20.4,2.18,5.26,F,2L,20.4,3.94,9.03,3.5,7,3,2.13,0.877,1.84,0.5,0.869,0.431
5.34,2L3-1/2X3X7/16SLBB,2L3-1/2X3X7/16SLBB,0.889,4.18,12.7,1.94,3.63,F,2L,18.2,3.49,5.82,3.5,7.99,3,1.88,0.885,1.54,0.438,0.846,0.381
5.34,2L3-1/2X3X7/16X3/8SLBB,2L3-1/2X3X7/16X3/8SLBB,0.901,4.18,14.9,1.94,4.04,F,2L,18.2,3.49,6.82,3.5,7.99,3,1.99,0.885,1.67,0.438,0.846,0.381
5.34,2L3-1/2X3X7/16X3/4SLBB,2L3-1/2X3X7/16X3/4SLBB,0.912,4.18,17.7,1.94,4.57,F,2L,18.2,3.49,7.82,3.5,7.99,3,2.12,0.885,1.82,0.438,0.846,0.381
4.64,2L3-1/2X3X3/8SLBB,2L3-1/2X3X3/8SLBB,0.885,3.69,10.7,1.69,3.06,F,2L,15.8,3.04,4.96,3.5,9.33,3,1.88,0.892,1.52,0.375,0.823,0.331
4.64,2L3-1/2X3X3/8X3/8SLBB,2L3-1/2X3X3/8X3/8SLBB,0.898,3.69,12.8,1.69,3.47,F,2L,15.8,3.04,5.83,3.5,9.33,3,1.99,0.892,1.66,0.375,0.823,0.331
4.64,2L3-1/2X3X3/8X3/4SLBB,2L3-1/2X3X3/8X3/4SLBB,0.91,3.69,15.2,1.69,3.92,F,2L,15.8,3.04,6.7,3.5,9.33,3,2.11,0.892,1.81,0.375,0.823,0.331
3.9,2L3-1/2X3X5/16SLBB,2L3-1/2X3X5/16SLBB,0.883,3.16,8.89,1.44,2.54,F,2L,13.2,2.56,4.1,3.5,11.2,3,1.87,0.9,1.51,0.313,0.798,0.279
3.9,2L3-1/2X3X5/16X3/8SLBB,2L3-1/2X3X5/16X3/8SLBB,0.895,3.16,10.6,1.44,2.87,F,2L,13.2,2.56,4.83,3.5,11.2,3,1.98,0.9,1.65,0.313,0.798,0.279
3.9,2L3-1/2X3X5/16X3/4SLBB,2L3-1/2X3X5/16X3/4SLBB,0.907,3.16,12.5,1.44,3.23,F,2L,13.2,2.56,5.56,3.5,11.2,3,2.11,0.9,1.79,0.313,0.798,0.279
3.16,2L3-1/2X3X1/4SLBB,2L3-1/2X3X1/4SLBB,0.88,2.61,7.11,1.17,2.03,F,2L,10.8,2.08,3.22,3.5,14,3,1.87,0.908,1.5,0.25,0.773,0.226
3.16,2L3-1/2X3X1/4X3/8SLBB,2L3-1/2X3X1/4X3/8SLBB,0.893,2.61,8.4,1.17,2.28,F,2L,10.8,2.08,3.82,3.5,14,3,1.98,0.908,1.63,0.25,0.773,0.226
3.16,2L3-1/2X3X1/4X3/4SLBB,2L3-1/2X3X1/4X3/4SLBB,0.905,2.61,10,1.17,2.58,F,2L,10.8,2.08,4.41,3.5,14,3,2.1,0.908,1.78,0.25,0.773,0.226
5.54,2L3-1/2X2-1/2X1/2SLBB,2L3-1/2X2-1/2X1/2SLBB,0.938,2.72,14.5,1.51,4.14,F,2L,18.8,2.78,6.65,3.5,7,2.5,1.82,0.701,1.62,0.5,0.701,0.396
5.54,2L3-1/2X2-1/2X1/2X3/8SLBB,2L3-1/2X2-1/2X1/2X3/8SLBB,0.946,2.72,17.2,1.51,4.66,F,2L,18.8,2.78,7.69,3.5,7,2.5,1.95,0.701,1.76,0.5,0.701,0.396
