A,AISC_name,Cw,EDI_Std_Nomenclature,Iw,Ix,Iy,Iz,J,PA,PA2,PB,SwA,SwB,SwC,Sx,Sy,Sz,SzA,SzB,SzC,T_F,Type,W,Zx,Zy,b,b_t,d,kdes,kdet,ro,rx,ry,rz,t,tana,wA,wB,wC,x,xp,y,yp,zA,zB,zC
4.61,L4X4X5/8,0.68,L4X4X5/8,10.5,6.62,6.62,2.76,0.61,12,12,16,4.02,0,4.02,2.38,2.38,1.6,2.09,1.6,2.09,F,L,15.7,4.28,4.28,4,6.4,4,1,1,2.13,1.2,1.2,0.774,0.625,1,1.32,1.73,1.32,1.22,0.576,1.22,0.576,2.61,0,2.61
5.44,L4X4X3/4,1.12,L4X4X3/4,12,7.62,7.62,3.25,1.02,12,12,16,4.69,0,4.69,2.79,2.79,1.81,2.5,1.81,2.5,F,L,18.5,5.02,5.02,4,5.33,4,1.13,1.13,2.1,1.18,1.18,0.774,0.75,1,1.3,1.8,1.3,1.27,0.68,1.27,0.68,2.56,0,2.56
2.86,L4X4X3/8,0.162,L4X4X3/8,6.91,4.32,4.32,1.73,0.141,12,12,16,2.56,0,2.56,1.5,1.5,1.08,1.27,1.08,1.27,F,L,9.8,2.69,2.69,4,10.7,4,0.75,0.75,2.19,1.23,1.23,0.779,0.375,1,1.36,1.6,1.36,1.13,0.358,1.13,0.358,2.7,0,2.7
2.4,L4X4X5/16,0.0963,L4X4X5/16,5.88,3.67,3.67,1.46,0.0832,12,12,16,2.16,0,2.16,1.27,1.27,0.93,1.07,0.93,1.07,F,L,8.2,2.26,2.26,4,12.8,4,0.688,0.69,2.21,1.24,1.24,0.781,0.313,1,1.37,1.57,1.37,1.11,0.3,1.11,0.3,2.72,0,2.72
3.3,L4X4X7/16,0.252,L4X4X7/16,7.86,4.93,4.93,1.99,0.22,12,12,16,2.94,0,2.94,1.73,1.73,1.22,1.46,1.22,1.46,F,L,11.3,3.1,3.1,4,9.13,4,0.813,0.81,2.18,1.22,1.22,0.777,0.438,1,1.36,1.63,1.36,1.15,0.413,1.15,0.413,2.67,0,2.67
1.93,L4X4X1/4,0.0505,L4X4X1/4,4.82,3,3,1.19,0.0438,12,12,16,1.76,0,1.76,1.03,1.03,0.778,0.856,0.778,0.856,F,L,6.6,1.82,1.82,4,16,4,0.625,0.63,2.22,1.25,1.25,0.783,0.25,1,1.39,1.53,1.39,1.08,0.241,1.08,0.241,2.74,0,2.74
3.5,L4X3-1/2X1/2,0.302,L4X3-1/2X1/2,7.26,5.3,3.76,1.79,0.301,11.5,11,15,3.17,18.3,2.73,1.92,1.5,1.16,1.27,1.16,1.69,F,L,11.9,3.46,2.69,4,8,3.5,0.875,0.88,2.03,1.23,1.04,0.716,0.5,0.75,1.41,1.54,1.06,0.994,0.438,1.24,0.5,2.29,0.397,2.66
2.68,L4X3-1/2X3/8,0.134,L4X3-1/2X3/8,5.73,4.15,2.96,1.39,0.132,11.5,11,15,2.44,14.8,2.13,1.48,1.16,0.939,0.972,0.939,1.29,F,L,9.1,2.66,2.06,4,10.7,3.5,0.75,0.75,2.06,1.25,1.05,0.719,0.375,0.755,1.43,1.48,1.08,0.947,0.335,1.2,0.427,2.35,0.387,2.69
2.25,L4X3-1/2X5/16,0.0798,L4X3-1/2X5/16,4.88,3.53,2.52,1.16,0.0782,11.5,11,15,2.07,13,1.79,1.25,0.98,0.806,0.806,0.806,1.05,F,L,7.7,2.24,1.74,4,12.8,3.5,0.688,0.69,2.08,1.25,1.06,0.721,0.313,0.757,1.44,1.44,1.1,0.923,0.281,1.17,0.4,2.36,0.376,2.72
1.82,L4X3-1/2X1/4,0.0419,L4X3-1/2X1/4,4.01,2.89,2.07,0.953,0.0412,11.5,11,15,1.68,11,1.46,1.01,0.794,0.653,0.653,0.681,0.859,F,L,6.2,1.81,1.4,4,16,3.5,0.625,0.63,2.09,1.26,1.07,0.723,0.25,0.759,1.46,1.4,1.11,0.897,0.228,1.14,0.36,2.38,0.365,2.74
