A,AISC_name,Bout,C,EDI_Std_Nomenclature,Ht,Ix,Iy,J,Sx,Sy,T_F,Type,W,Zx,Zy,bin,b_tdes,h,h_tdes,rx,ry,tdes,tnom
1.89,HSS4X2X3/16,2,2.41,HSS4X2X.188,4,3.66,1.22,3.08,1.83,1.22,F,HSS,6.87,2.34,1.43,1.48,8.49,3.48,20,1.39,0.804,0.174,0.1875
2.24,HSS3-1/2X3-1/2X3/16,3.5,3.83,HSS3-1/2X3-1/2X188,3.5,4.05,4.05,6.56,2.31,2.31,F,HSS,8.15,2.76,2.76,2.98,17.1,2.98,17.1,1.35,1.35,0.174,0.1875
2.91,HSS3-1/2X3-1/2X1/4,3.5,4.92,HSS3-1/2X3-1/2X.250,3.5,5.04,5.04,8.35,2.88,2.88,F,HSS,10.51,3.5,3.5,2.8,12,2.8,12,1.32,1.32,0.233,0.25
3.39,HSS3-1/2X2-1/2X3/8,2.5,4.57,HSS3-1/2X2-1/2X.375,3.5,4.75,2.77,6.16,2.72,2.21,F,HSS,12.17,3.59,2.82,1.45,4.16,2.45,7.03,1.18,0.904,0.349,0.375
2.94,HSS3-1/2X2-1/2X5/16,2.5,4.03,HSS3-1/2X2-1/2X.313,3.5,4.34,2.54,5.53,2.48,2.03,F,HSS,10.58,3.2,2.52,1.63,5.59,2.63,9.03,1.22,0.93,0.291,0.3125
2.44,HSS3-1/2X2-1/2X1/4,2.5,3.4,HSS3-1/2X2-1/2X.250,3.5,3.79,2.23,4.75,2.17,1.78,F,HSS,8.81,2.74,2.16,1.8,7.73,2.8,12,1.25,0.956,0.233,0.25
1.89,HSS3-1/2X2-1/2X3/16,2.5,2.67,HSS3-1/2X2-1/2X.188,3.5,3.09,1.82,3.78,1.76,1.46,F,HSS,6.87,2.18,1.72,1.98,11.4,2.98,17.1,1.28,0.983,0.174,0.1875
1.3,HSS3-1/2X2-1/2X1/8,2.5,1.87,HSS3-1/2X2-1/2X.125,3.5,2.23,1.33,2.67,1.28,1.06,F,HSS,4.75,1.54,1.22,2.15,18.6,3.15,27.2,1.31,1.01,0.116,0.125
1.71,HSS3-1/2X2X3/16,2,2.09,HSS3-1/2X2X.188,3.5,2.61,1.08,2.55,1.49,1.08,F,HSS,6.23,1.89,1.27,1.48,8.49,2.98,17.1,1.23,0.792,0.174,0.1875
2.21,HSS3-1/2X2X1/4,2,2.64,HSS3-1/2X2X.250,3.5,3.17,1.3,3.16,1.81,1.3,F,HSS,7.96,2.36,1.58,1.3,5.58,2.8,12,1.2,0.766,0.233,0.25
1.97,HSS3-1/2X1-1/2X1/4,1.5,1.88,HSS3-1/2X1-1/2X.250,3.5,2.55,0.638,1.79,1.46,0.851,F,HSS,7.11,1.98,1.06,0.801,3.44,2.8,12,1.14,0.569,0.233,0.25
1.19,HSS3-1/2X2X1/8,2,1.47,HSS3-1/2X2X.125,3.5,1.9,0.795,1.83,1.09,0.795,F,HSS,4.33,1.34,0.912,1.65,14.2,3.15,27.2,1.27,0.818,0.116,0.125
1.54,HSS3-1/2X1-1/2X3/16,1.5,1.51,HSS3-1/2X1-1/2X.188,3.5,2.12,0.544,1.49,1.21,0.725,F,HSS,5.59,1.6,0.867,0.978,5.62,2.98,17.1,1.17,0.594,0.174,0.1875
1.07,HSS3-1/2X1-1/2X1/8,1.5,1.08,HSS3-1/2X1-1/2X.125,3.5,1.57,0.411,1.09,0.896,0.548,F,HSS,3.9,1.15,0.63,1.15,9.93,3.15,27.2,1.21,0.619,0.116,0.125
3.39,HSS3X3X3/8,3,4.74,HSS3X3X.375,3,3.78,3.78,6.64,2.52,2.52,F,HSS,12.17,3.25,3.25,1.95,5.6,1.95,5.6,1.06,1.06,0.349,0.375
2.94,HSS3X3X5/16,3,4.18,HSS3X3X.313,3,3.45,3.45,5.94,2.3,2.3,F,HSS,10.58,2.9,2.9,2.13,7.31,2.13,7.31,1.08,1.08,0.291,0.3125
2.44,HSS3X3X1/4,3,3.52,HSS3X3X.250,3,3.02,3.02,5.08,2.01,2.01,F,HSS,8.81,2.48,2.48,2.3,9.88,2.3,9.88,1.11,1.11,0.233,0.25
