A,AISC_name,Bout,C,EDI_Std_Nomenclature,Ht,Ix,Iy,J,Sx,Sy,T_F,Type,W,Zx,Zy,bin,b_tdes,h,h_tdes,rx,ry,tdes,tnom
3.98,HSS10X2X3/16,2,6.22,HSS10X2X.188,10,41,2.97,9.74,8.19,2.97,F,HSS,14.53,11.1,3.34,1.48,8.49,9.48,54.5,3.21,0.864,0.174,0.1875
2.7,HSS10X2X1/8,2,4.31,HSS10X2X.125,10,28.5,2.14,6.9,5.7,2.14,F,HSS,9.86,7.65,2.33,1.65,14.2,9.65,83.2,3.25,0.89,0.116,0.125
18.7,HSS9X9X5/8,9,81.6,HSS9X9X.625,9,216,216,356,47.9,47.9,F,HSS,67.82,58.1,58.1,7.26,12.5,7.26,12.5,3.4,3.4,0.581,0.625
15.3,HSS9X9X1/2,9,67.4,HSS9X9X.500,9,183,183,296,40.6,40.6,F,HSS,55.66,48.4,48.4,7.6,16.4,7.6,16.4,3.45,3.45,0.465,0.5
11.8,HSS9X9X3/8,9,52.1,HSS9X9X.375,9,145,145,231,32.2,32.2,F,HSS,42.79,37.8,37.8,7.95,22.8,7.95,22.8,3.51,3.51,0.349,0.375
6.06,HSS9X9X3/16,9,27.1,HSS9X9X.188,9,78.2,78.2,121,17.4,17.4,F,HSS,22.18,20,20,8.48,48.7,8.48,48.7,3.59,3.59,0.174,0.1875
9.92,HSS9X9X5/16,9,44,HSS9X9X.313,9,124,124,196,27.6,27.6,F,HSS,36.1,32.1,32.1,8.13,27.9,8.13,27.9,3.54,3.54,0.291,0.3125
8.03,HSS9X9X1/4,9,35.8,HSS9X9X.250,9,102,102,159,22.7,22.7,F,HSS,29.23,26.2,26.2,8.3,35.6,8.3,35.6,3.56,3.56,0.233,0.25
10.4,HSS9X7X3/8,7,40,HSS9X7X.375,9,119,80.4,154,26.4,23,F,HSS,37.69,31.8,26.7,5.95,17.1,7.95,22.8,3.38,2.78,0.349,0.375
13.5,HSS9X7X1/2,7,51.5,HSS9X7X.500,9,149,100,197,33,28.7,F,HSS,48.85,40.5,34,5.6,12.1,7.6,16.4,3.32,2.73,0.465,0.5
16.4,HSS9X7X5/8,7,62,HSS9X7X.625,9,174,117,235,38.7,33.5,F,HSS,59.32,48.3,40.5,5.26,9.05,7.26,12.5,3.26,2.68,0.581,0.625
4.09,HSS9X9X1/8,9,18.3,HSS9X9X.125,9,53.5,53.5,82,11.9,11.9,F,HSS,14.96,13.6,13.6,8.65,74.6,8.65,74.6,3.62,3.62,0.116,0.125
5.37,HSS9X7X3/16,7,20.9,HSS9X7X.188,9,64.7,44.1,81.7,14.4,12.6,F,HSS,19.63,16.9,14.3,6.48,37.2,8.48,48.7,3.47,2.87,0.174,0.1875
8.76,HSS9X7X5/16,7,33.9,HSS9X7X.313,9,102,69.2,131,22.6,19.8,F,HSS,31.84,27.1,22.8,6.13,21.1,8.13,27.9,3.41,2.81,0.291,0.3125
7.1,HSS9X7X1/4,7,27.6,HSS9X7X.250,9,84.1,57.2,107,18.7,16.3,F,HSS,25.82,22.2,18.7,6.3,27,8.3,35.6,3.44,2.84,0.233,0.25
8.97,HSS9X5X3/8,5,27.9,HSS9X5X.375,9,92.5,36.8,86.9,20.5,14.7,F,HSS,32.58,25.7,17.1,3.95,11.3,7.95,22.8,3.21,2.03,0.349,0.375
7.59,HSS9X5X5/16,5,23.8,HSS9X5X.313,9,79.8,32,74.4,17.7,12.8,F,HSS,27.59,22,14.6,4.13,14.2,8.13,27.9,3.24,2.05,0.291,0.3125
11.6,HSS9X5X1/2,5,35.6,HSS9X5X.500,9,115,45.2,109,25.5,18.1,F,HSS,42.05,32.5,21.5,3.6,7.75,7.6,16.4,3.14,1.97,0.465,0.5
6.17,HSS9X5X1/4,5,19.4,HSS9X5X.250,9,66.1,26.6,61.2,14.7,10.6,F,HSS,22.42,18.1,12,4.3,18.5,8.3,35.6,3.27,2.08,0.233,0.25
4.67,HSS9X5X3/16,5,14.8,HSS9X5X.188,9,51.1,20.7,46.9,11.4,8.28,F,HSS,17.08,13.8,9.25,4.48,25.7,8.48,48.7,3.31,2.1,0.174,0.1875
9.74,HSS9X3X1/2,3,19.7,HSS9X3X.500,9,80.8,13.2,40,18,8.81,F,HSS,35.24,24.6,10.8,1.6,3.45,7.6,16.4,2.88,1.17,0.465,0.5
7.58,HSS9X3X3/8,3,15.8,HSS9X3X.375,9,66.3,11.2,33.1,14.7,7.45,F,HSS,27.48,19.7,8.8,1.95,5.6,7.95,22.8,2.96,1.21,0.349,0.375
6.43,HSS9X3X5/16,3,13.6,HSS9X3X.313,9,57.7,9.88,28.9,12.8,6.59,F,HSS,23.34,16.9,7.63,2.13,7.31,8.13,27.9,3,1.24,0.291,0.3125
5.24,HSS9X3X1/4,3,11.3,HSS9X3X.250,9,48.2,8.38,24.2,10.7,5.59,F,HSS,19.02,14,6.35,2.3,9.88,8.3,35.6,3.04,1.27,0.233,0.25
3.98,HSS9X3X3/16,3,8.66,HSS9X3X.188,9,37.6,6.64,18.9,8.35,4.42,F,HSS,14.53,10.8,4.92,2.48,14.2,8.48,48.7,3.07,1.29,0.174,0.1875
16.4,HSS8X8X5/8,8,63.2,HSS8X8X.625,8,146,146,244,36.5,36.5,F,HSS,59.32,44.7,44.7,6.26,10.8,6.26,10.8,2.99,2.99,0.581,0.625
13.5,HSS8X8X1/2,8,52.4,HSS8X8X.500,8,125,125,204,31.2,31.2,F,HSS,48.85,37.5,37.5,6.6,14.2,6.6,14.2,3.04,3.04,0.465,0.5
10.4,HSS8X8X3/8,8,40.7,HSS8X8X.375,8,100,100,160,24.9,24.9,F,HSS,37.69,29.4,29.4,6.95,19.9,6.95,19.9,3.1,3.1,0.349,0.375
8.76,HSS8X8X5/16,8,34.5,HSS8X8X.313,8,85.6,85.6,136,21.4,21.4,F,HSS,31.84,25.1,25.1,7.13,24.5,7.13,24.5,3.13,3.13,0.291,0.3125
7.1,HSS8X8X1/4,8,28.1,HSS8X8X.250,8,70.7,70.7,111,17.7,17.7,F,HSS,25.82,20.5,20.5,7.3,31.3,7.3,31.3,3.15,3.15,0.233,0.25
5.37,HSS8X8X3/16,8,21.3,HSS8X8X.188,8,54.4,54.4,84.5,13.6,13.6,F,HSS,19.63,15.7,15.7,7.48,43,7.48,43,3.18,3.18,0.174,0.1875
3.62,HSS8X8X1/8,8,14.4,HSS8X8X.125,8,37.4,37.4,57.3,9.34,9.34,F,HSS,13.26,10.7,10.7,7.65,66,7.65,66,3.21,3.21,0.116,0.125
14,HSS8X6X5/8,6,46,HSS8X6X.625,8,114,72.3,150,28.5,24.1,F,HSS,50.81,36.1,29.5,4.26,7.33,6.26,10.8,2.85,2.27,0.581,0.625
14,HSS9X5X5/8,5,42.5,HSS9X5X.625,9,133,52,128,29.6,20.8,F,HSS,50.81,38.5,25.3,3.26,5.61,7.26,12.5,3.08,1.92,0.581,0.625
11.6,HSS8X6X1/2,6,38.4,HSS8X6X.500,8,98.2,62.5,127,24.6,20.8,F,HSS,42.05,30.5,24.9,4.61,9.9,6.6,14.2,2.91,2.32,0.465,0.5
8.97,HSS8X6X3/8,6,30,HSS8X6X.375,8,79.1,50.6,100,19.8,16.9,F,HSS,32.58,24.1,19.8,4.95,14.2,6.95,19.9,2.97,2.38,0.349,0.375
7.59,HSS8X6X5/16,6,25.5,HSS8X6X.313,8,68.3,43.8,85.8,17.1,14.6,F,HSS,27.59,20.6,16.9,5.13,17.6,7.13,24.5,3,2.4,0.291,0.3125
6.17,HSS8X6X1/4,6,20.8,HSS8X6X.250,8,56.6,36.4,70.3,14.2,12.1,F,HSS,22.42,16.9,13.9,5.3,22.8,7.3,31.3,3.03,2.43,0.233,0.25
4.67,HSS8X6X3/16,6,15.8,HSS8X6X.188,8,43.7,28.2,53.7,10.9,9.39,F,HSS,17.08,13,10.7,5.48,31.5,7.48,43,3.06,2.46,0.174,0.1875
11.7,HSS8X4X5/8,4,28.7,HSS8X4X.625,8,82,26.6,70.3,20.5,13.3,F,HSS,42.3,27.4,16.6,2.26,3.88,6.26,10.8,2.64,1.51,0.581,0.625
9.74,HSS8X4X1/2,4,24.4,HSS8X4X.500,8,71.8,23.6,61.1,17.9,11.8,F,HSS,35.24,23.5,14.3,2.6,5.6,6.6,14.2,2.71,1.56,0.465,0.5
6.43,HSS8X4X5/16,4,16.5,HSS8X4X.313,8,51,17.2,42.6,12.8,8.58,F,HSS,23.34,16.1,9.91,3.13,10.7,7.13,24.5,2.82,1.63,0.291,0.3125
7.58,HSS8X4X3/8,4,19.3,HSS8X4X.375,8,58.7,19.6,49.3,14.7,9.8,F,HSS,27.48,18.8,11.5,2.95,8.46,6.95,19.9,2.78,1.61,0.349,0.375
2.7,HSS8X4X1/8,4,7.1,HSS8X4X.125,8,22.9,7.9,18.7,5.73,3.95,F,HSS,9.86,7.02,4.36,3.65,31.5,7.65,66,2.92,1.71,0.116,0.125
5.24,HSS8X4X1/4,4,13.6,HSS8X4X.250,8,42.5,14.4,35.3,10.6,7.21,F,HSS,19.02,13.3,8.2,3.3,14.2,7.3,31.3,2.85,1.66,0.233,0.25
3.98,HSS8X4X3/16,4,10.4,HSS8X4X.188,8,33.1,11.3,27.2,8.27,5.65,F,HSS,14.53,10.2,6.33,3.48,20,7.48,43,2.88,1.69,0.174,0.1875
4.77,HSS8X3X1/4,3,10,HSS8X3X.250,8,35.5,7.49,20.8,8.88,4.99,F,HSS,17.32,11.5,5.7,2.3,9.88,7.3,31.3,2.73,1.25,0.233,0.25
8.81,HSS8X3X1/2,3,17.4,HSS8X3X.500,8,58.6,11.7,34.3,14.6,7.81,F,HSS,31.84,20,9.64,1.6,3.45,6.6,14.2,2.58,1.15,0.465,0.5
6.88,HSS8X3X3/8,3,14,HSS8X3X.375,8,48.5,10,28.5,12.1,6.63,F,HSS,24.93,16.1,7.88,1.95,5.6,6.95,19.9,2.65,1.2,0.349,0.375
7.59,HSS7X7X5/16,7,26.1,HSS7X7X.313,7,56.1,56.1,89.7,16,16,F,HSS,27.59,18.9,18.9,6.13,21.1,6.13,21.1,2.72,2.72,0.291,0.3125
6.17,HSS7X7X1/4,7,21.3,HSS7X7X.250,7,46.5,46.5,73.5,13.3,13.3,F,HSS,22.42,15.5,15.5,6.3,27,6.3,27,2.75,2.75,0.233,0.25
4.67,HSS7X7X3/16,7,16.2,HSS7X7X.188,7,36,36,56.1,10.3,10.3,F,HSS,17.08,11.9,11.9,6.48,37.2,6.48,37.2,2.77,2.77,0.174,0.1875
3.16,HSS7X7X1/8,7,11,HSS7X7X.125,7,24.8,24.8,38.2,7.09,7.09,F,HSS,11.56,8.13,8.13,6.65,57.3,6.65,57.3,2.8,2.8,0.116,0.125
9.74,HSS7X5X1/2,5,27.2,HSS7X5X.500,7,60.6,35.6,75.8,17.3,14.2,F,HSS,35.24,21.9,17.3,3.6,7.75,5.6,12.1,2.5,1.91,0.465,0.5
7.58,HSS7X5X3/8,5,21.4,HSS7X5X.375,7,49.5,29.3,60.6,14.1,11.7,F,HSS,27.48,17.5,13.8,3.95,11.3,5.95,17.1,2.56,1.97,0.349,0.375
6.43,HSS7X5X5/16,5,18.3,HSS7X5X.313,7,43,25.5,52.1,12.3,10.2,F,HSS,23.34,15,11.9,4.13,14.2,6.13,21.1,2.59,1.99,0.291,0.3125
5.24,HSS7X5X1/4,5,15,HSS7X5X.250,7,35.9,21.3,42.9,10.2,8.53,F,HSS,19.02,12.4,9.83,4.3,18.5,6.3,27,2.62,2.02,0.233,0.25
3.98,HSS7X5X3/16,5,11.4,HSS7X5X.188,7,27.9,16.6,32.9,7.96,6.65,F,HSS,14.53,9.52,7.57,4.48,25.7,6.48,37.2,2.65,2.05,0.174,0.1875
2.7,HSS7X5X1/8,5,7.79,HSS7X5X.125,7,19.3,11.6,22.5,5.52,4.63,F,HSS,9.86,6.53,5.2,4.65,40.1,6.65,57.3,2.68,2.07,0.116,0.125
8.81,HSS7X4X1/2,4,21.1,HSS7X4X.500,7,50.7,20.7,50.5,14.5,10.4,F,HSS,31.84,18.8,12.6,2.6,5.6,5.6,12.1,2.4,1.53,0.465,0.5
4.3,HSS8X2X1/4,2,6.35,HSS8X2X.250,8,28.5,2.94,9.36,7.12,2.94,F,HSS,15.62,9.68,3.43,1.3,5.58,7.3,31.3,2.57,0.827,0.233,0.25
6.88,HSS7X4X3/8,4,16.8,HSS7X4X.375,7,41.8,17.3,41,11.9,8.63,F,HSS,24.93,15.1,10.2,2.95,8.46,5.95,17.1,2.46,1.58,0.349,0.375
4.77,HSS7X4X1/4,4,11.8,HSS7X4X.250,7,30.5,12.8,29.3,8.72,6.38,F,HSS,17.32,10.8,7.33,3.3,14.2,6.3,27,2.53,1.64,0.233,0.25
5.85,HSS7X4X5/16,4,14.4,HSS7X4X.313,7,36.5,15.2,35.4,10.4,7.58,F,HSS,21.21,13.1,8.83,3.13,10.7,6.13,21.1,2.5,1.61,0.291,0.3125
3.63,HSS7X4X3/16,4,9.07,HSS7X4X.188,7,23.8,10,22.7,6.81,5.02,F,HSS,13.25,8.33,5.67,3.48,20,6.48,37.2,2.56,1.66,0.174,0.1875
2.46,HSS7X4X1/8,4,6.2,HSS7X4X.125,7,16.6,7.03,15.6,4.73,3.51,F,HSS,9.01,5.73,3.91,3.65,31.5,6.65,57.3,2.59,1.69,0.116,0.125
3.63,HSS8X3X3/16,3,7.68,HSS8X3X.188,8,27.8,5.94,16.2,6.94,3.96,F,HSS,13.25,8.87,4.43,2.48,14.2,7.48,43,2.77,1.28,0.174,0.1875
7.88,HSS7X3X1/2,3,15,HSS7X3X.500,7,40.7,10.2,28.6,11.6,6.8,F,HSS,28.43,15.8,8.46,1.6,3.45,5.6,12.1,2.27,1.14,0.465,0.5
2.46,HSS8X3X1/8,3,5.27,HSS8X3X.125,8,19.3,4.2,11.3,4.83,2.8,F,HSS,9.01,6.11,3.07,2.65,22.9,7.65,66,2.8,1.31,0.116,0.125
5.26,HSS8X2X5/16,2,7.57,HSS8X2X.313,8,33.7,3.38,10.9,8.43,3.38,F,HSS,19.08,11.6,4.06,1.13,3.87,7.13,24.5,2.53,0.802,0.291,0.3125
6.18,HSS8X2X3/8,2,8.65,HSS8X2X.375,8,38.2,3.73,12.1,9.56,3.73,F,HSS,22.37,13.4,4.61,0.953,2.73,6.95,19.9,2.49,0.777,0.349,0.375
5.85,HSS8X3X5/16,3,12.1,HSS8X3X.313,8,42.4,8.81,24.9,10.6,5.87,F,HSS,21.21,13.9,6.84,2.13,7.31,7.13,24.5,2.69,1.23,0.291,0.3125
14,HSS7X7X5/8,7,47.1,HSS7X7X.625,7,93.4,93.4,158,26.7,26.7,F,HSS,50.81,33.1,33.1,5.26,9.05,5.26,9.05,2.58,2.58,0.581,0.625
2.23,HSS8X2X1/8,2,3.44,HSS8X2X.125,8,15.7,1.72,5.3,3.93,1.72,F,HSS,8.16,5.19,1.9,1.65,14.2,7.65,66,2.65,0.879,0.116,0.125
3.28,HSS8X2X3/16,2,4.95,HSS8X2X.188,8,22.4,2.39,7.48,5.61,2.39,F,HSS,11.97,7.51,2.7,1.48,8.49,7.48,43,2.61,0.853,0.174,0.1875
6.18,HSS7X3X3/8,3,12.1,HSS7X3X.375,7,34.1,8.71,23.9,9.73,5.81,F,HSS,22.37,12.8,6.95,1.95,5.6,5.95,17.1,2.35,1.19,0.349,0.375
5.26,HSS7X3X5/16,3,10.5,HSS7X3X.313,7,29.9,7.74,20.9,8.54,5.16,F,HSS,19.08,11.1,6.05,2.13,7.31,6.13,21.1,2.38,1.21,0.291,0.3125
11.6,HSS7X7X1/2,7,39.3,HSS7X7X.500,7,80.5,80.5,133,23,23,F,HSS,42.05,27.9,27.9,5.6,12.1,5.6,12.1,2.63,2.63,0.465,0.5
4.3,HSS7X3X1/4,3,8.68,HSS7X3X.250,7,25.2,6.6,17.5,7.19,4.4,F,HSS,15.62,9.22,5.06,2.3,9.88,6.3,27,2.42,1.24,0.233,0.25
2.23,HSS7X3X1/8,3,4.6,HSS7X3X.125,7,13.8,3.71,9.48,3.95,2.48,F,HSS,8.16,4.93,2.73,2.65,22.9,6.65,57.3,2.49,1.29,0.116,0.125
3.28,HSS7X3X3/16,3,6.69,HSS7X3X.188,7,19.8,5.24,13.7,5.65,3.5,F,HSS,11.97,7.14,3.94,2.48,14.2,6.48,37.2,2.45,1.26,0.174,0.1875
2,HSS7X2X1/8,2,3,HSS7X2X.125,7,11.1,1.52,4.51,3.16,1.52,F,HSS,7.31,4.13,1.68,1.65,14.2,6.65,57.3,2.35,0.871,0.116,0.125
2.93,HSS7X2X3/16,2,4.32,HSS7X2X.188,7,15.7,2.1,6.35,4.49,2.1,F,HSS,10.7,5.95,2.39,1.48,8.49,6.48,37.2,2.31,0.845,0.174,0.1875
9.74,HSS6X6X1/2,6,28.1,HSS6X6X.500,6,48.3,48.3,81.1,16.1,16.1,F,HSS,35.24,19.8,19.8,4.61,9.9,4.61,9.9,2.23,2.23,0.465,0.5
3.84,HSS7X2X1/4,2,5.52,HSS7X2X.250,7,19.8,2.58,7.95,5.67,2.58,F,HSS,13.91,7.64,3.02,1.3,5.58,6.3,27,2.27,0.819,0.233,0.25
7.58,HSS6X6X3/8,6,22.1,HSS6X6X.375,6,39.5,39.5,64.6,13.2,13.2,F,HSS,27.48,15.8,15.8,4.95,14.2,4.95,14.2,2.28,2.28,0.349,0.375
11.7,HSS6X6X5/8,6,33.4,HSS6X6X.625,6,55.2,55.2,94.9,18.4,18.4,F,HSS,42.3,23.2,23.2,4.26,7.33,4.26,7.33,2.17,2.17,0.581,0.625
6.43,HSS6X6X5/16,6,18.9,HSS6X6X.313,6,34.3,34.3,55.4,11.4,11.4,F,HSS,23.34,13.6,13.6,5.13,17.6,5.13,17.6,2.31,2.31,0.291,0.3125
5.24,HSS6X6X1/4,6,15.4,HSS6X6X.250,6,28.6,28.6,45.6,9.54,9.54,F,HSS,19.02,11.2,11.2,5.3,22.8,5.3,22.8,2.34,2.34,0.233,0.25
3.98,HSS6X6X3/16,6,11.8,HSS6X6X.188,6,22.3,22.3,35,7.42,7.42,F,HSS,14.53,8.63,8.63,5.48,31.5,5.48,31.5,2.37,2.37,0.174,0.1875
8.97,HSS7X7X3/8,7,30.7,HSS7X7X.375,7,65,65,105,18.6,18.6,F,HSS,32.58,22.1,22.1,5.95,17.1,5.95,17.1,2.69,2.69,0.349,0.375
2.7,HSS6X6X1/8,6,8.03,HSS6X6X.125,6,15.5,15.5,23.9,5.15,5.15,F,HSS,9.86,5.92,5.92,5.65,48.7,5.65,48.7,2.39,2.39,0.116,0.125
8.81,HSS6X5X1/2,5,23,HSS6X5X.500,6,41.1,30.8,59.8,13.7,12.3,F,HSS,31.84,17.2,15.2,3.6,7.75,4.61,9.9,2.16,1.87,0.465,0.5
6.88,HSS6X5X3/8,5,18.2,HSS6X5X.375,6,33.9,25.5,48.1,11.3,10.2,F,HSS,24.93,13.8,12.2,3.95,11.3,4.95,14.2,2.22,1.92,0.349,0.375
5.85,HSS6X5X5/16,5,15.6,HSS6X5X.313,6,29.6,22.3,41.4,9.85,8.91,F,HSS,21.21,11.9,10.5,4.13,14.2,5.13,17.6,2.25,1.95,0.291,0.3125
4.77,HSS6X5X1/4,5,12.8,HSS6X5X.250,6,24.7,18.7,34.2,8.25,7.47,F,HSS,17.32,9.87,8.72,4.3,18.5,5.3,22.8,2.28,1.98,0.233,0.25
3.63,HSS6X5X3/16,5,9.76,HSS6X5X.188,6,19.3,14.6,26.3,6.44,5.84,F,HSS,13.25,7.62,6.73,4.48,25.7,5.48,31.5,2.31,2.01,0.174,0.1875
2.46,HSS6X5X1/8,5,6.66,HSS6X5X.125,6,13.4,10.2,18,4.48,4.07,F,HSS,9.01,5.24,4.63,4.65,40.1,5.65,48.7,2.34,2.03,0.116,0.125
5.26,HSS6X4X5/16,4,12.2,HSS6X4X.313,6,24.8,13.2,28.4,8.27,6.58,F,HSS,19.08,10.3,7.75,3.13,10.7,5.13,17.6,2.17,1.58,0.291,0.3125
2.23,HSS6X4X1/8,4,5.3,HSS6X4X.125,6,11.4,6.15,12.6,3.81,3.08,F,HSS,8.16,4.56,3.46,3.65,31.5,5.65,48.7,2.26,1.66,0.116,0.125
4.3,HSS6X4X1/4,4,10.1,HSS6X4X.250,6,20.9,11.1,23.6,6.96,5.56,F,HSS,15.62,8.53,6.45,3.3,14.2,5.3,22.8,2.2,1.61,0.233,0.25
3.28,HSS6X4X3/16,4,7.74,HSS6X4X.188,6,16.4,8.76,18.2,5.46,4.38,F,HSS,11.97,6.6,5,3.48,20,5.48,31.5,2.23,1.63,0.174,0.1875
3.84,HSS6X3X1/4,3,7.39,HSS6X3X.250,6,17,5.7,14.2,5.66,3.8,F,HSS,13.91,7.19,4.41,2.3,9.88,5.3,22.8,2.1,1.22,0.233,0.25
5.48,HSS6X3X3/8,3,10.3,HSS6X3X.375,6,22.7,7.48,19.3,7.57,4.99,F,HSS,19.82,9.9,6.03,1.95,5.6,4.95,14.2,2.04,1.17,0.349,0.375
7.88,HSS6X4X1/2,4,17.8,HSS6X4X.500,6,34,17.8,40.3,11.3,8.89,F,HSS,28.43,14.6,11,2.6,5.6,4.61,9.9,2.08,1.5,0.465,0.5
2,HSS6X3X1/8,3,3.93,HSS6X3X.125,6,9.43,3.23,7.73,3.14,2.15,F,HSS,7.31,3.87,2.4,2.65,22.9,5.65,48.7,2.17,1.27,0.116,0.125
2.93,HSS6X3X3/16,3,5.71,HSS6X3X.188,6,13.4,4.55,11.1,4.47,3.03,F,HSS,10.7,5.59,3.45,2.48,14.2,5.48,31.5,2.14,1.25,0.174,0.1875
4.78,HSS6X2X3/8,2,6.35,HSS6X2X.375,6,17.1,2.77,8.42,5.71,2.77,F,HSS,17.27,7.93,3.46,0.953,2.73,4.95,14.2,1.89,0.76,0.349,0.375
4.1,HSS6X2X5/16,2,5.58,HSS6X2X.313,6,15.3,2.52,7.6,5.11,2.52,F,HSS,14.83,6.95,3.07,1.13,3.87,5.13,17.6,1.93,0.785,0.291,0.3125
6.88,HSS5-1/2X5-1/2X3/8,5.5,18.4,HSS5-1/2X5-1/2X.375,5.5,29.7,29.7,49,10.8,10.8,F,HSS,24.93,13.1,13.1,4.45,12.8,4.45,12.8,2.08,2.08,0.349,0.375
6.18,HSS5X5X3/8,5,14.9,HSS5X5X.375,5,21.7,21.7,36.1,8.68,8.68,F,HSS,22.37,10.6,10.6,3.95,11.3,3.95,11.3,1.87,1.87,0.349,0.375
4.68,HSS6X3X5/16,3,8.91,HSS6X3X.313,6,20.1,6.67,16.9,6.69,4.45,F,HSS,16.96,8.61,5.27,2.13,7.31,5.13,17.6,2.07,1.19,0.291,0.3125
4.77,HSS5-1/2X5-1/2X1/4,5.5,12.9,HSS5-1/2X5-1/2X.250,5.5,21.7,21.7,34.8,7.9,7.9,F,HSS,17.32,9.32,9.32,4.8,20.6,4.8,20.6,2.13,2.13,0.233,0.25
6.18,HSS6X4X3/8,4,14.2,HSS6X4X.375,6,28.3,14.9,32.8,9.43,7.47,F,HSS,22.37,11.9,8.94,2.95,8.46,4.95,14.2,2.14,1.55,0.349,0.375
6.95,HSS6X3X1/2,3,12.7,HSS6X3X.500,6,26.8,8.69,23.1,8.95,5.79,F,HSS,25.03,12.1,7.28,1.6,3.45,4.61,9.9,1.97,1.12,0.465,0.5
5.26,HSS5X5X5/16,5,12.8,HSS5X5X.313,5,19,19,31.2,7.62,7.62,F,HSS,19.08,9.16,9.16,4.13,14.2,4.13,14.2,1.9,1.9,0.291,0.3125
2.58,HSS6X2X3/16,2,3.68,HSS6X2X.188,6,10.5,1.8,5.24,3.49,1.8,F,HSS,9.42,4.58,2.07,1.48,8.49,5.48,31.5,2.01,0.836,0.174,0.1875
5.85,HSS5-1/2X5-1/2X5/16,5.5,15.7,HSS5-1/2X5-1/2X.313,5.5,25.9,25.9,42.2,9.43,9.43,F,HSS,21.21,11.3,11.3,4.63,15.9,4.63,15.9,2.11,2.11,0.291,0.3125
1.77,HSS6X2X1/8,2,2.57,HSS6X2X.125,6,7.42,1.31,3.72,2.47,1.31,F,HSS,6.46,3.19,1.46,1.65,14.2,5.65,48.7,2.05,0.861,0.116,0.125
3.63,HSS5-1/2X5-1/2X3/16,5.5,9.85,HSS5-1/2X5-1/2X.188,5.5,17,17,26.7,6.17,6.17,F,HSS,13.25,7.19,7.19,4.98,28.6,4.98,28.6,2.16,2.16,0.174,0.1875
3.37,HSS6X2X1/4,2,4.7,HSS6X2X.250,6,13.1,2.21,6.55,4.37,2.21,F,HSS,12.21,5.84,2.61,1.3,5.58,5.3,22.8,1.97,0.81,0.233,0.25
2.46,HSS5-1/2X5-1/2X1/8,5.5,6.72,HSS5-1/2X5-1/2X.125,5.5,11.8,11.8,18.3,4.3,4.3,F,HSS,9.01,4.95,4.95,5.15,44.4,5.15,44.4,2.19,2.19,0.116,0.125
4.3,HSS5X5X1/4,5,10.5,HSS5X5X.250,5,16,16,25.8,6.41,6.41,F,HSS,15.62,7.61,7.61,4.3,18.5,4.3,18.5,1.93,1.93,0.233,0.25
2.23,HSS5X5X1/8,5,5.53,HSS5X5X.125,5,8.8,8.8,13.7,3.52,3.52,F,HSS,8.16,4.07,4.07,4.65,40.1,4.65,40.1,1.99,1.99,0.116,0.125
7.88,HSS5X5X1/2,5,18.7,HSS5X5X.500,5,26,26,44.6,10.4,10.4,F,HSS,28.43,13.1,13.1,3.6,7.75,3.6,7.75,1.82,1.82,0.465,0.5
6.95,HSS5X4X1/2,4,14.5,HSS5X4X.500,5,21.2,14.9,30.3,8.49,7.43,F,HSS,25.03,10.9,9.35,2.6,5.6,3.6,7.75,1.75,1.46,0.465,0.5
5.48,HSS5X4X3/8,4,11.7,HSS5X4X.375,5,17.9,12.6,24.9,7.17,6.3,F,HSS,19.82,8.96,7.67,2.95,8.46,3.95,11.3,1.81,1.52,0.349,0.375
4.68,HSS5X4X5/16,4,10.1,HSS5X4X.313,5,15.8,11.1,21.7,6.32,5.57,F,HSS,16.96,7.79,6.67,3.13,10.7,4.13,14.2,1.84,1.54,0.291,0.3125
2.93,HSS5X4X3/16,4,6.41,HSS5X4X.188,5,10.6,7.48,14,4.22,3.74,F,HSS,10.7,5.05,4.34,3.48,20,4.48,25.7,1.9,1.6,0.174,0.1875
3.84,HSS5X4X1/4,4,8.32,HSS5X4X.250,5,13.4,9.46,18,5.35,4.73,F,HSS,13.91,6.49,5.57,3.3,14.2,4.3,18.5,1.87,1.57,0.233,0.25
3.28,HSS5X5X3/16,5,8.08,HSS5X5X.188,5,12.6,12.6,19.9,5.03,5.03,F,HSS,11.97,5.89,5.89,4.48,25.7,4.48,25.7,1.96,1.96,0.174,0.1875
2,HSS5X4X1/8,4,4.39,HSS5X4X.125,5,7.42,5.27,9.66,2.97,2.64,F,HSS,7.31,3.5,3.01,3.65,31.5,4.65,40.1,1.93,1.62,0.116,0.125
